Well,PAC-3310 Concentration (log M),Replicate,Fluorescence
A1,Standard: NSB,,0.11
A2,Vehicle Control,1,0.253
A3,-5.0,1,0.303
A4,-6.0,1,0.284
A5,-7.0,1,0.266
A6,-8.0,1,0.268
A7,-9.0,1,0.248
A8,-10.0,1,0.225
A9,-11.0,1,0.261
B1,Standard: B_0,,0.782
B2,Vehicle Control,2,0.305
B3,-5.0,2,0.329
B4,-6.0,2,0.312
B5,-7.0,2,0.265
B6,-8.0,2,0.23
B7,-9.0,2,0.245
B8,-10.0,2,0.236
B9,-11.0,2,0.266
C1,Standard: 1 pmol/mL,,0.692
C2,Vehicle Control,3,0.301
C3,-5.0,3,0.305
C4,-6.0,3,0.266
C5,-7.0,3,0.268
C6,-8.0,3,0.224
C7,-9.0,3,0.247
C8,-10.0,3,0.241
C9,-11.0,3,0.265
D1,Standard: 3.1 pmol/mL,,0.608
D2,Vehicle Control,4,0.279
D3,-5.0,4,0.29
D4,-6.0,4,0.228
D5,-7.0,4,0.258
D6,-8.0,4,0.272
D7,-9.0,4,0.238
D8,-10.0,4,0.258
D9,-11.0,4,0.266
E1,Standard: 9.3 pmol/mL,,0.421
E2,Vehicle Control,5,0.267
E3,-5.0,5,0.266
E4,-6.0,5,0.23
E5,-7.0,5,0.243
E6,-8.0,5,0.266
E7,-9.0,5,0.233
E8,-10.0,5,0.269
E9,-11.0,5,0.248
F1,Standard: 27.8 pmol/mL,,0.317
F2,Vehicle Control,6,0.277
F3,-5.0,6,0.266
F4,-6.0,6,0.248
F5,-7.0,6,0.274
F6,-8.0,6,0.249
F7,-9.0,6,0.261
F8,-10.0,6,0.301
F9,-11.0,6,0.265
G1,Standard: 83.3 pmol/mL,,0.233
G2,Vehicle Control,7,0.288
G3,-5.0,7,0.29
G4,-6.0,7,0.262
G5,-7.0,7,0.234
G6,-8.0,7,0.252
G7,-9.0,7,0.279
G8,-10.0,7,0.236
G9,-11.0,7,0.266
H1,Standard: 250 pmol/mL,,0.156
H2,Vehicle Control,8,0.333
H3,-5.0,8,0.295
H4,-6.0,8,0.263
H5,-7.0,8,0.264
H6,-8.0,8,0.266
H7,-9.0,8,0.265
H8,-10.0,8,0.29
H9,-11.0,8,0.236
