Well,Carbachol Concentration (log M),Replicate,Fluorescence
A1,Standard: NSB,,0.122
A2,Vehicle Control,1,0.271
A3,-5.0,1,0.265
A4,-6.0,1,0.264
A5,-7.0,1,0.27
A6,-8.0,1,0.232
A7,-9.0,1,0.252
A8,-10.0,1,0.254
A9,-11.0,1,0.228
B1,Standard: B_0,,0.55
B2,Vehicle Control,2,0.261
B3,-5.0,2,0.286
B4,-6.0,2,0.309
B5,-7.0,2,0.261
B6,-8.0,2,0.264
B7,-9.0,2,0.249
B8,-10.0,2,0.267
B9,-11.0,2,0.244
C1,Standard: 1 pmol/mL,,0.469
C2,Vehicle Control,3,0.274
C3,-5.0,3,0.254
C4,-6.0,3,0.279
C5,-7.0,3,0.264
C6,-8.0,3,0.275
C7,-9.0,3,0.243
C8,-10.0,3,0.228
C9,-11.0,3,0.241
D1,Standard: 3.1 pmol/mL,,0.413
D2,Vehicle Control,4,0.255
D3,-5.0,4,0.266
D4,-6.0,4,0.302
D5,-7.0,4,0.271
D6,-8.0,4,0.253
D7,-9.0,4,0.227
D8,-10.0,4,0.252
D9,-11.0,4,0.264
E1,Standard: 9.3 pmol/mL,,0.3
E2,Vehicle Control,5,0.252
E3,-5.0,5,0.267
E4,-6.0,5,0.304
E5,-7.0,5,0.246
E6,-8.0,5,0.264
E7,-9.0,5,0.251
E8,-10.0,5,0.265
E9,-11.0,5,0.253
F1,Standard: 27.8 pmol/mL,,0.217
F2,Vehicle Control,6,0.264
F3,-5.0,6,0.271
F4,-6.0,6,0.268
F5,-7.0,6,0.264
F6,-8.0,6,0.247
F7,-9.0,6,0.269
F8,-10.0,6,0.252
F9,-11.0,6,0.261
G1,Standard: 83.3 pmol/mL,,0.19
G2,Vehicle Control,7,0.233
G3,-5.0,7,0.268
G4,-6.0,7,0.277
G5,-7.0,7,0.264
G6,-8.0,7,0.265
G7,-9.0,7,0.24
G8,-10.0,7,0.207
G9,-11.0,7,0.236
H1,Standard: 250 pmol/mL,,0.143
H2,Vehicle Control,8,0.264
H3,-5.0,8,0.27
H4,-6.0,8,0.251
H5,-7.0,8,0.267
H6,-8.0,8,0.243
H7,-9.0,8,0.251
H8,-10.0,8,0.252
H9,-11.0,8,0.266
