Well,PAC-3310 Concentration (log M),Replicate,Fluorescence
A1,Standard: NSB,,0.149
A2,Carbachol-only Control (100 nM),1,0.418
A3,-5.0,1,0.476
A4,-6.0,1,0.425
A5,-7.0,1,0.433
A6,-8.0,1,0.395
A7,-9.0,1,0.461
A8,-10.0,1,0.423
A9,-11.0,1,0.399
A10,Vehicle Control,1,0.352
B1,Standard: B_0,,0.743
B2,Carbachol-only Control (100 nM),2,0.426
B3,-5.0,2,0.458
B4,-6.0,2,0.446
B5,-7.0,2,0.423
B6,-8.0,2,0.389
B7,-9.0,2,0.411
B8,-10.0,2,0.438
B9,-11.0,2,0.394
B10,Vehicle Control,2,0.301
C1,Standard: 1 pmol/mL,,0.676
C2,Carbachol-only Control (100 nM),3,0.467
C3,-5.0,3,0.515
C4,-6.0,3,0.423
C5,-7.0,3,0.416
C6,-8.0,3,0.415
C7,-9.0,3,0.447
C8,-10.0,3,0.453
C9,-11.0,3,0.386
C10,Vehicle Control,3,0.32
D1,Standard: 3.1 pmol/mL,,0.59
D2,Carbachol-only Control (100 nM),4,0.522
D3,-5.0,4,0.487
D4,-6.0,4,0.433
D5,-7.0,4,0.423
D6,-8.0,4,0.43
D7,-9.0,4,0.414
D8,-10.0,4,0.42
D9,-11.0,4,0.419
D10,Vehicle Control,4,0.314
E1,Standard: 9.3 pmol/mL,,0.44
E2,Carbachol-only Control (100 nM),5,0.422
E3,-5.0,5,0.47
E4,-6.0,5,0.462
E5,-7.0,5,0.447
E6,-8.0,5,0.423
E7,-9.0,5,0.42
E8,-10.0,5,0.424
E9,-11.0,5,0.413
E10,Vehicle Control,5,0.347
F1,Standard: 27.8 pmol/mL,,0.357
F2,Carbachol-only Control (100 nM),6,0.422
F3,-5.0,6,0.512
F4,-6.0,6,0.433
F5,-7.0,6,0.452
F6,-8.0,6,0.423
F7,-9.0,6,0.406
F8,-10.0,6,0.397
F9,-11.0,6,0.424
F10,Vehicle Control,6,0.381
G1,Standard: 83.3 pmol/mL,,0.276
G2,Carbachol-only Control (100 nM),7,0.412
G3,-5.0,7,0.468
G4,-6.0,7,0.376
G5,-7.0,7,0.474
G6,-8.0,7,0.384
G7,-9.0,7,0.423
G8,-10.0,7,0.425
G9,-11.0,7,0.451
G10,Vehicle Control,7,0.359
H1,Standard: 250 pmol/mL,,0.209
H2,Carbachol-only Control (100 nM),8,0.458
H3,-5.0,8,0.463
H4,-6.0,8,0.37
H5,-7.0,8,0.423
H6,-8.0,8,0.364
H7,-9.0,8,0.381
H8,-10.0,8,0.472
H9,-11.0,8,0.45
H10,Vehicle Control,8,0.324
