Condition,Receptor,Assay Mode,Fixed Carbachol (nM),Concentration (log M),Concentration (M),Replicate,Peak Fluorescence (RFU),F0 (RFU),F0 Source,ΔF/F0,Transient Fit Method,Transient R²,PAC-3310 Activation (% Max Carbachol),Control-referenced % Inhibition,Range-referenced % Inhibition
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-5.0,1e-05,2,35.021187041618106,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.07081638151556735,rise-decay fit,0.8899841812182172,7.074161716687205,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-5.0,1e-05,3,34.9368386209063,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.06823732357141964,rise-decay fit,0.8436316205606799,6.816528206147033,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-5.0,1e-05,4,35.668717060945475,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.0906154177788111,rise-decay fit,0.6298266439764408,9.05197506104668,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-6.0,1e-06,1,35.031217359225586,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.07112307096024922,rise-decay fit,0.5164791662489753,7.104798282437231,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-6.0,1e-06,2,35.8624210191826,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.09653815738778625,rise-decay fit,0.7989558836092683,9.643623729095447,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-6.0,1e-06,3,35.957747659129296,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.09945288804864177,rise-decay fit,0.832413207183797,9.93478907268118,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-6.0,1e-06,4,36.402252821809476,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.11304418663313964,rise-decay fit,0.7060714891897144,11.292484030667477,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-7.0,1e-07,1,35.74399859465789,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.09291724436821458,rise-decay fit,0.6674699025497937,9.28191470479466,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-7.0,1e-07,2,35.305586687732784,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.07951225466215493,rise-decay fit,0.6728713763821936,7.942830965104469,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-7.0,1e-07,3,36.00069222374091,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.10076597156087466,rise-decay fit,0.7743081790834004,10.065958795198126,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-7.0,1e-07,4,37.05295788068397,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.13294030368222254,rise-decay fit,0.8367857827528025,13.27999520431322,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-8.0,1e-08,1,35.870808082411386,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.09679460228462886,rise-decay fit,0.8358878134415653,9.669241144626413,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-8.0,1e-08,2,36.17066438612519,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.1059630819748196,rise-decay fit,0.9040754849971947,10.585121151998914,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-8.0,1e-08,3,35.357431231080014,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.08109746610123134,rise-decay fit,0.7248843764617423,8.1011847504176,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-8.0,1e-08,4,36.326416988083324,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.11072541163092878,rise-decay fit,0.8239923274956601,11.060851334966335,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-9.0,1e-09,1,34.99702492165501,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.07007759462528065,rise-decay fit,0.6238659005096683,7.000361025036395,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-9.0,1e-09,2,34.853228312095794,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.06568083431731557,rise-decay fit,0.755510823029924,6.561149181923243,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-9.0,1e-09,3,34.925394532699706,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.06788740633107687,rise-decay fit,0.7406292613249977,6.781573424602631,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-9.0,1e-09,4,35.03998037043318,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.07139101093445233,rise-decay fit,0.5795403691369475,7.131563992112202,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-10.0,1e-10,1,34.30357882366008,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.04887461710916757,rise-decay fit,0.5586507396489919,4.882301776396387,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-10.0,1e-10,2,34.05937076526979,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.04140765178010337,rise-decay fit,0.6328235649572127,4.136393567868606,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-10.0,1e-10,3,34.153872897374384,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.0442971720874959,rise-decay fit,0.03504643485174452,4.425040537689466,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-10.0,1e-10,4,34.96755489749829,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.06917651195800337,rise-decay fit,0.7144054319047991,6.910347890052618,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-11.0,1e-11,1,34.85838288619495,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.06583844183583158,rise-decay fit,0.778023565964429,6.5768932943713345,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-11.0,1e-11,2,34.0775611360958,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.041963845008025344,rise-decay fit,0.9015165411791876,4.191954170596965,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-11.0,1e-11,3,35.01677492699922,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.07068147561973309,rise-decay fit,0.8418484996201445,7.060685369784951,,
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,,-11.0,1e-11,4,35.02265630743545,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.07086130614659543,rise-decay fit,0.7229395254194164,7.078649436875016,,
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-5.0,1e-05,1,68.85308925151288,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.105268899105451,rise-decay fit,0.5540632951117492,,-17.612883680041215,5.640988647383205
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-5.0,1e-05,2,70.80348573172688,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.164904698970873,rise-decay fit,0.7633390992063103,,-23.958794976753552,0.5497614165454578
