Condition,Receptor,Assay Mode,Fixed Carbachol (nM),Concentration (log M),Concentration (M),Replicate,Peak Fluorescence (RFU),F0 (RFU),F0 Source,ΔF/F0,Transient Fit Method,Transient R²,PAC-3310 Activation (% Max Carbachol),Control-referenced % Inhibition,Range-referenced % Inhibition
Carbachol dose titration (M3),M3,Carbachol agonism,,-11.0,1e-11,3,48.34574335167109,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.18783217982154327,rise-decay fit,0.7963384934573403,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-11.0,1e-11,4,46.491664826176084,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.14227834232070938,rise-decay fit,0.6536101445178732,,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-5.0,1e-05,1,51.189800600041835,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.1554368033577496,rise-decay fit,0.8943284204002905,11.912756914875123,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-5.0,1e-05,2,48.50829197429416,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.09491080563179648,rise-decay fit,0.8340627653005105,7.274013178746843,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-5.0,1e-05,3,48.33547465221282,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.09101003845064144,rise-decay fit,0.8597702347512836,6.975056366674023,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-5.0,1e-05,4,51.172181259361224,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.15503910626898113,rise-decay fit,0.9096854365185447,11.882277204523977,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-6.0,1e-06,1,50.01892568574213,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.1290082579785531,rise-decay fit,0.7164277153460232,9.887259542856391,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-6.0,1e-06,2,49.84391210976245,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.125057917785706,rise-decay fit,0.4994236551726976,9.584503429555877,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-6.0,1e-06,3,49.74417231082028,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.12280662879636797,rise-decay fit,0.44554829546630026,9.411963478297405,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-6.0,1e-06,4,50.29007303292683,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.13512849326756807,rise-decay fit,0.08588659975798418,10.356317537391126,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-7.0,1e-07,1,47.986398395129825,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.08313082130417476,rise-decay fit,0.5430895469308099,6.3711890938162545,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-7.0,1e-07,2,51.942402581893504,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.1724242504256854,rise-decay fit,0.3646782479240531,13.214683634629283,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-7.0,1e-07,3,49.14435193328126,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.1092677102718062,rise-decay fit,0.3039952435413913,8.37433376777002,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-7.0,1e-07,4,49.84088436697035,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.1249895767214298,rise-decay fit,0.2454764530467758,9.57926573508173,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-8.0,1e-08,1,48.05015467403104,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.08456990389922489,rise-decay fit,0.4232140091259111,6.481481127394704,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-8.0,1e-08,2,48.901966116164196,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.10379666935298762,rise-decay fit,0.4267393074189104,7.955030365169701,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-8.0,1e-08,3,49.30273574922056,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.11284268981553118,rise-decay fit,0.5935014350374601,8.648322046993878,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-8.0,1e-08,4,49.293209354495346,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.11262766363961722,rise-decay fit,0.18107760513715287,8.631842329779785,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-9.0,1e-09,1,46.02242600802213,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.03880077996307313,rise-decay fit,0.42758779274708825,2.9737118225714108,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-9.0,1e-09,2,47.09278319091067,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.06296047715569578,rise-decay fit,0.24904630868175515,4.825323497383657,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-9.0,1e-09,3,47.56169226927872,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.07354451538643984,rise-decay fit,0.2247946050374876,5.636489655570819,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-9.0,1e-09,4,49.39882717371925,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.11501162907787255,rise-decay fit,0.3482096262737696,8.814550672629807,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-10.0,1e-10,1,46.62146137748873,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.05232197958255649,rise-decay fit,0.0688494648189949,4.009983547059217,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-10.0,1e-10,2,48.73117967774364,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.09994174250911667,rise-decay fit,0.23258914490408722,7.659586780229483,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-10.0,1e-10,3,48.63152407787885,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.09769235402948315,rise-decay fit,0.4557695172062176,7.487192485016652,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-10.0,1e-10,4,49.17866894247167,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.11004230081396459,rise-decay fit,0.06367073604500773,8.43369878710882,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-11.0,1e-11,1,48.935215476710106,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.10454716133405666,rise-decay fit,0.3265130421278257,8.012548458336232,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-11.0,1e-11,2,48.04691656659134,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.08449681456374793,rise-decay fit,0.4036690948379478,6.475879522962562,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-11.0,1e-11,3,47.89611486054966,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.08109297553473724,rise-decay fit,0.6906835894726648,6.215007541205178,,
PAC-3310 dose titration (M3),M3,PAC-3310 agonism,,-11.0,1e-11,4,49.70087901293997,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.12182942886350479,rise-decay fit,0.4484896323755041,9.337070370578004,,
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-5.0,1e-05,1,64.7656798634926,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.4618664115035466,rise-decay fit,0.8207311362714117,,-82.07080598046458,5.307297532975608
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-5.0,1e-05,2,68.7794534780443,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.552463790282856,rise-decay fit,0.9510244973021996,,-117.78489421729587,-13.267143949170524
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-5.0,1e-05,3,66.23452168754866,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.4950205531866874,rise-decay fit,0.9843937498337607,,-95.14038875914996,-1.490025666455863
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-5.0,1e-05,4,61.103767231866414,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.3792111056483787,rise-decay fit,0.980187846136251,,-49.48753562178712,22.253440594526673
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-6.0,1e-06,1,60.03968905974551,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.35519313591014284,rise-decay fit,0.9242686674288556,,-40.01949248347066,27.17764899253723
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-6.0,1e-06,2,72.6938326354056,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.6408176749961331,rise-decay fit,0.953050602555107,,-152.6145821976003,-31.38162014527268
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-6.0,1e-06,3,65.59503211456529,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.48058623659769245,rise-decay fit,0.9480678733052301,,-89.45028532300667,1.4693245093384988
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-6.0,1e-06,4,65.32160711815429,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.47441459107245154,rise-decay fit,0.9717052301075008,,-87.01738168026642,2.734646643396932
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-7.0,1e-07,1,58.296778364619534,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.3158528154066723,rise-decay fit,0.9259200875690801,,-24.511276940627113,35.24327396895729
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-7.0,1e-07,2,66.79909377681899,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.5077638606902329,rise-decay fit,0.9629223225202408,,-100.16388518634062,-4.10268204462978
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-7.0,1e-07,3,65.64676002611257,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.48175381943767176,rise-decay fit,0.931979112719476,,-89.9105542307022,1.2299445247411223
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-7.0,1e-07,4,63.178743578009765,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.42604668633686565,rise-decay fit,0.9599346002716873,,-67.95043249440465,12.651123568337919
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-8.0,1e-08,1,62.10255145970282,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.40175528519055287,rise-decay fit,0.9607615811024844,,-58.3746008795742,17.63139137730646
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-8.0,1e-08,2,64.59055509492651,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.45791356151372675,rise-decay fit,0.9315857631235587,,-80.5125662694982,6.117718119231896
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-8.0,1e-08,3,65.09500959030487,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.4692999174429768,rise-decay fit,0.920413309516898,,-85.00114337661064,3.783266452391365
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-8.0,1e-08,4,64.45832203206272,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.45492884687013396,rise-decay fit,0.969067839768009,,-79.33597193995696,6.729649813451955
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-9.0,1e-09,1,56.26095323717134,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.26990094120749447,rise-decay fit,0.949344010198954,,-6.396743033471619,44.66441186287723
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-9.0,1e-09,2,64.57014304090973,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.45745282835660045,rise-decay fit,0.9301012231312903,,-80.3309421999175,6.212178479798991
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-9.0,1e-09,3,63.51521621468787,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.4336414193341335,rise-decay fit,0.9231905078357088,,-70.94432666721866,11.094037419367641
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-9.0,1e-09,4,64.57977784188756,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.4576703014374159,rise-decay fit,0.9512229080380754,,-80.41667153228921,6.167591748174139
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-10.0,1e-10,1,55.18638875146675,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.2456462783682088,rise-decay fit,0.9299152116903844,,3.1646060968044565,49.63714751646532
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-10.0,1e-10,2,61.564434136912126,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.3896091046626255,rise-decay fit,0.9215690704666586,,-53.5864958708016,20.121623683001978
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-10.0,1e-10,3,62.57320742432433,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.41237875347659825,rise-decay fit,0.9485492391499291,,-62.56244261253669,15.453348340352168
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-10.0,1e-10,4,61.17248026468639,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.3807620702167085,rise-decay fit,0.9499797231008195,,-50.09893615226451,21.935458981774946
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-11.0,1e-11,1,59.71561773280563,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.34787832058228213,rise-decay fit,0.9280355318478655,,-37.135943714452566,28.677345905303586
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-11.0,1e-11,2,64.44525857814779,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.4546339835329973,rise-decay fit,0.946834775745133,,-79.21973485471017,6.790103237984435
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-11.0,1e-11,3,66.07524972044745,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.4914255266311086,rise-decay fit,0.9366220494726791,,-93.72320542173296,-0.7529666998159934
PAC-3310 + 100 nM carbachol (M3),M3,PAC-3310 antagonism,100.0,-11.0,1e-11,4,64.05217433270215,44.3034188034188,PAC-3310 dose titration (M3) / Vehicle Control,0.4457614347306168,rise-decay fit,0.9647368943776765,,-75.72211720745241,8.609169537118245
Carbachol dose titration (M5),M5,Carbachol agonism,,-5.0,1e-05,1,109.60722450152221,52.75,Carbachol dose titration (M5) / Vehicle Control,1.077862075858241,rise-decay fit,0.924678405108991,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-5.0,1e-05,2,131.61353879087025,52.75,Carbachol dose titration (M5) / Vehicle Control,1.4950433894003838,rise-decay fit,0.9759288786749913,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-5.0,1e-05,3,128.20569771099636,52.75,Carbachol dose titration (M5) / Vehicle Control,1.4304397670331064,rise-decay fit,0.9750059747376824,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-5.0,1e-05,4,124.9164679535954,52.75,Carbachol dose titration (M5) / Vehicle Control,1.3680847005420929,rise-decay fit,0.9723209575919503,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-6.0,1e-06,1,98.20253193184077,52.75,Carbachol dose titration (M5) / Vehicle Control,0.8616593731154648,rise-decay fit,0.8310829308866532,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-6.0,1e-06,2,110.45336582639777,52.75,Carbachol dose titration (M5) / Vehicle Control,1.0939026696947445,rise-decay fit,0.9695917065080011,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-6.0,1e-06,3,107.53178396316127,52.75,Carbachol dose titration (M5) / Vehicle Control,1.0385172315291238,rise-decay fit,0.962604976902363,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-6.0,1e-06,4,107.09747822218227,52.75,Carbachol dose titration (M5) / Vehicle Control,1.0302839473399483,rise-decay fit,0.9777320539700314,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-7.0,1e-07,1,77.01566041238581,52.75,Carbachol dose titration (M5) / Vehicle Control,0.46001251966608175,rise-decay fit,0.8331726804519717,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-7.0,1e-07,2,81.18390595165394,52.75,Carbachol dose titration (M5) / Vehicle Control,0.5390313924484159,rise-decay fit,0.9815288027812505,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-7.0,1e-07,3,79.37773133764226,52.75,Carbachol dose titration (M5) / Vehicle Control,0.5047911154055404,rise-decay fit,0.9812151610815749,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-7.0,1e-07,4,74.08479919019406,52.75,Carbachol dose titration (M5) / Vehicle Control,0.4044511694823519,rise-decay fit,0.979618481849949,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-8.0,1e-08,1,63.28463531326319,52.75,Carbachol dose titration (M5) / Vehicle Control,0.19970872631778555,rise-decay fit,0.7915100275050136,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-8.0,1e-08,2,76.38196251651647,52.75,Carbachol dose titration (M5) / Vehicle Control,0.44799928941263445,rise-decay fit,0.9893254235404468,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-8.0,1e-08,3,75.47817047628695,52.75,Carbachol dose titration (M5) / Vehicle Control,0.4308657910196578,rise-decay fit,0.9776673790565585,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-8.0,1e-08,4,70.4067781630429,52.75,Carbachol dose titration (M5) / Vehicle Control,0.3347256523799602,rise-decay fit,0.9733656847071874,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-9.0,1e-09,1,57.124020595315585,52.75,Carbachol dose titration (M5) / Vehicle Control,0.08291982171214379,rise-decay fit,0.7811289104204051,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-9.0,1e-09,2,70.5476071461377,52.75,Carbachol dose titration (M5) / Vehicle Control,0.3373953961353117,rise-decay fit,0.9734914049520773,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-9.0,1e-09,3,70.16621043239888,52.75,Carbachol dose titration (M5) / Vehicle Control,0.3301651266805476,rise-decay fit,0.9784841031290037,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-9.0,1e-09,4,65.19073631700965,52.75,Carbachol dose titration (M5) / Vehicle Control,0.23584334250255265,rise-decay fit,0.9512649841894593,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-10.0,1e-10,1,58.48309336025678,52.75,Carbachol dose titration (M5) / Vehicle Control,0.1086842343176641,rise-decay fit,0.8461730699276869,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-10.0,1e-10,2,70.20249185038644,52.75,Carbachol dose titration (M5) / Vehicle Control,0.33085292607367656,rise-decay fit,0.9782645641603748,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-10.0,1e-10,3,68.25992602450977,52.75,Carbachol dose titration (M5) / Vehicle Control,0.2940270336399956,rise-decay fit,0.9730106409538121,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-10.0,1e-10,4,66.9245627491956,52.75,Carbachol dose titration (M5) / Vehicle Control,0.2687120900321441,rise-decay fit,0.9727722082612847,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-11.0,1e-11,1,56.58947568284226,52.75,Carbachol dose titration (M5) / Vehicle Control,0.07278626886904764,rise-decay fit,0.7871579609973879,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-11.0,1e-11,2,67.36818079606547,52.75,Carbachol dose titration (M5) / Vehicle Control,0.2771219108258858,rise-decay fit,0.9728754437814627,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-11.0,1e-11,3,61.86586271790927,52.75,Carbachol dose titration (M5) / Vehicle Control,0.17281256337268763,rise-decay fit,0.9438106064970091,,,
Carbachol dose titration (M5),M5,Carbachol agonism,,-11.0,1e-11,4,62.78648734653358,52.75,Carbachol dose titration (M5) / Vehicle Control,0.1902651629674613,rise-decay fit,0.9469766016515783,,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-5.0,1e-05,1,55.502942843145924,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.016491635046731686,rise-decay fit,0.6687662558556093,1.2281001709376211,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-5.0,1e-05,2,63.46310545080603,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.16227559333458477,rise-decay fit,0.815436760334223,12.08434963231271,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-5.0,1e-05,3,59.98188074440111,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.09851977044463497,rise-decay fit,0.7833102988742707,7.336576790654221,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-5.0,1e-05,4,59.55373469167154,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.09067862078870056,rise-decay fit,0.5849190401855082,6.752661538739346,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-6.0,1e-06,1,65.71103642209006,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.20344463611723904,rise-decay fit,0.9211193009943146,15.150128636968521,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-6.0,1e-06,2,62.907846662439965,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.1521064764418939,rise-decay fit,0.8502882190455805,11.327075162024617,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-6.0,1e-06,3,62.84865616341183,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.15102245018933333,rise-decay fit,0.8678200900105566,11.246349823251471,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-6.0,1e-06,4,60.96078598158744,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.11644763037659212,rise-decay fit,0.8556461457079112,8.671629851469175,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-7.0,1e-07,1,64.07111605076307,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.17341081711222617,rise-decay fit,0.9541115504662148,12.913568214096706,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-7.0,1e-07,2,60.11945720394538,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.1010393723457685,rise-decay fit,0.848222521270949,7.5242066719066605,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-7.0,1e-07,3,65.89563676387954,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.20682544249693072,rise-decay fit,0.866237846243082,15.401890750369716,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-7.0,1e-07,4,59.13124378725992,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.08294104061333192,rise-decay fit,0.9177143949767074,6.176458905762878,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-8.0,1e-08,1,63.355992205273196,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.16031390062948742,rise-decay fit,0.9380090015014775,11.938266170022258,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-8.0,1e-08,2,65.96829238631837,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.2081560716251357,rise-decay fit,0.84857115517421,15.500980128419405,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-8.0,1e-08,3,64.94643777580316,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.18944162855933142,rise-decay fit,0.8979307501379834,14.107351742695974,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-8.0,1e-08,4,60.77513223824744,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.1130475317970709,rise-decay fit,0.8442624379468923,8.41843108525331,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-9.0,1e-09,1,65.66902537898386,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.20267523774465684,rise-decay fit,0.9302228007351697,15.092833028000108,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-9.0,1e-09,2,62.92545290933558,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.15242892065434835,rise-decay fit,0.8215476204667256,11.351086958993871,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-9.0,1e-09,3,59.05027666392913,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.08145819304951657,rise-decay fit,0.8139139614566482,6.06603411516839,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-9.0,1e-09,4,57.97205425826346,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.06171141927616045,rise-decay fit,0.782678167273207,4.595530057941435,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-10.0,1e-10,1,66.66157579263796,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.22085299807878583,rise-decay fit,0.8206779792599315,16.446495688515455,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-10.0,1e-10,2,64.05162018426904,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.17305376604080513,rise-decay fit,0.8644327002415992,12.88697931126184,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-10.0,1e-10,3,66.04108139354078,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.20948914358807708,rise-decay fit,0.9225947002424046,15.60025141964804,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-10.0,1e-10,4,57.55093142083159,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.053998894144179875,rise-decay fit,0.693250600195476,4.021193225595442,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-11.0,1e-11,1,60.84322995043399,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.11429468647496012,rise-decay fit,0.8531688671495421,8.511304282408188,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-11.0,1e-11,2,60.23112913199051,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.10308455364450084,rise-decay fit,0.8836133772196242,7.676507368317558,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-11.0,1e-11,3,59.24379761044186,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.08500237311024654,rise-decay fit,0.8194953439888064,6.329962350669744,,
PAC-3310 dose titration (M5),M5,PAC-3310 agonism,,-11.0,1e-11,4,57.53589113060683,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.05372344335870802,rise-decay fit,0.4341218827874319,4.000680938259206,,
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-5.0,1e-05,1,75.5779377511908,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.3841489763034269,rise-decay fit,0.8941093002286,,-59.40854586667492,-5.806154275627029
PAC-3310 + 500 nM carbachol (M5),M5,PAC-3310 antagonism,500.0,-5.0,1e-05,2,74.24953361436725,54.60245901639344,PAC-3310 dose titration (M5) / Vehicle Control,0.3598203258954898,rise-decay fit,0.9670352874864384,,-49.31299694253908,0.8946860159445902
