Time (s),PAC-3310 Concentration (log M),Replicate,Fluorescence (RFU)
102,-6.0,1,35
108,-6.0,1,35
114,-6.0,1,35
120,-6.0,1,35
126,-6.0,1,35
132,-6.0,1,35
138,-6.0,1,35
144,-6.0,1,35
150,-6.0,1,35
156,-6.0,1,35
162,-6.0,1,35
168,-6.0,1,35
174,-6.0,1,35
180,-6.0,1,36
186,-6.0,1,35
192,-6.0,1,35
198,-6.0,1,35
204,-6.0,1,35
210,-6.0,1,35
216,-6.0,1,35
222,-6.0,1,35
228,-6.0,1,35
234,-6.0,1,35
240,-6.0,1,35
246,-6.0,1,35
252,-6.0,1,35
258,-6.0,1,35
264,-6.0,1,36
270,-6.0,1,36
276,-6.0,1,35
282,-6.0,1,35
288,-6.0,1,35
294,-6.0,1,35
300,-6.0,1,35
0,-6.0,2,33
5,-6.0,2,33
10,-6.0,2,34
15,-6.0,2,34
20,-6.0,2,34
25,-6.0,2,34
30,-6.0,2,34
35,-6.0,2,34
40,-6.0,2,35
45,-6.0,2,35
50,-6.0,2,34
55,-6.0,2,35
60,-6.0,2,34
65,-6.0,2,35
70,-6.0,2,35
75,-6.0,2,35
80,-6.0,2,35
85,-6.0,2,35
90,-6.0,2,35
95,-6.0,2,35
100,-6.0,2,35
105,-6.0,2,35
110,-6.0,2,35
115,-6.0,2,36
120,-6.0,2,35
125,-6.0,2,36
130,-6.0,2,36
135,-6.0,2,36
140,-6.0,2,36
145,-6.0,2,36
150,-6.0,2,36
155,-6.0,2,36
160,-6.0,2,36
165,-6.0,2,36
170,-6.0,2,36
175,-6.0,2,35
180,-6.0,2,36
185,-6.0,2,36
190,-6.0,2,36
195,-6.0,2,36
200,-6.0,2,36
205,-6.0,2,36
210,-6.0,2,36
215,-6.0,2,36
220,-6.0,2,35
225,-6.0,2,36
230,-6.0,2,36
235,-6.0,2,36
240,-6.0,2,36
245,-6.0,2,36
250,-6.0,2,36
255,-6.0,2,36
260,-6.0,2,36
265,-6.0,2,36
270,-6.0,2,36
275,-6.0,2,36
280,-6.0,2,35
285,-6.0,2,36
290,-6.0,2,35
295,-6.0,2,35
300,-6.0,2,36
0,-6.0,3,33
5,-6.0,3,34
10,-6.0,3,34
15,-6.0,3,34
20,-6.0,3,34
25,-6.0,3,34
30,-6.0,3,34
35,-6.0,3,34
40,-6.0,3,34
45,-6.0,3,35
50,-6.0,3,35
55,-6.0,3,35
60,-6.0,3,35
