Time (s),PAC-3310 Concentration (log M),Replicate,Fluorescence (RFU)
0,-5.0,1,52
5,-5.0,1,53
10,-5.0,1,53
15,-5.0,1,54
20,-5.0,1,54
25,-5.0,1,55
30,-5.0,1,55
35,-5.0,1,55
40,-5.0,1,55
45,-5.0,1,55
50,-5.0,1,55
55,-5.0,1,55
60,-5.0,1,55
65,-5.0,1,56
70,-5.0,1,55
75,-5.0,1,56
80,-5.0,1,55
85,-5.0,1,55
90,-5.0,1,55
95,-5.0,1,55
100,-5.0,1,55
105,-5.0,1,56
110,-5.0,1,56
115,-5.0,1,55
120,-5.0,1,55
125,-5.0,1,56
130,-5.0,1,55
135,-5.0,1,55
140,-5.0,1,55
145,-5.0,1,55
150,-5.0,1,56
155,-5.0,1,55
160,-5.0,1,55
165,-5.0,1,55
170,-5.0,1,56
175,-5.0,1,55
180,-5.0,1,56
185,-5.0,1,55
190,-5.0,1,56
195,-5.0,1,55
200,-5.0,1,55
205,-5.0,1,55
210,-5.0,1,55
215,-5.0,1,55
220,-5.0,1,55
225,-5.0,1,55
230,-5.0,1,56
235,-5.0,1,55
240,-5.0,1,55
245,-5.0,1,55
250,-5.0,1,55
255,-5.0,1,55
260,-5.0,1,55
265,-5.0,1,55
270,-5.0,1,55
275,-5.0,1,55
280,-5.0,1,55
285,-5.0,1,55
290,-5.0,1,55
295,-5.0,1,55
300,-5.0,1,55
0,-5.0,2,58
5,-5.0,2,58
10,-5.0,2,60
15,-5.0,2,60
20,-5.0,2,61
25,-5.0,2,61
30,-5.0,2,62
35,-5.0,2,62
40,-5.0,2,62
45,-5.0,2,63
50,-5.0,2,63
55,-5.0,2,62
60,-5.0,2,63
65,-5.0,2,62
70,-5.0,2,63
75,-5.0,2,63
80,-5.0,2,63
85,-5.0,2,63
90,-5.0,2,62
95,-5.0,2,63
100,-5.0,2,63
105,-5.0,2,63
110,-5.0,2,63
115,-5.0,2,63
120,-5.0,2,64
125,-5.0,2,64
130,-5.0,2,63
135,-5.0,2,63
140,-5.0,2,63
145,-5.0,2,63
150,-5.0,2,63
155,-5.0,2,63
160,-5.0,2,63
165,-5.0,2,63
170,-5.0,2,63
175,-5.0,2,63
180,-5.0,2,63
185,-5.0,2,63
190,-5.0,2,63
195,-5.0,2,64
200,-5.0,2,63
205,-5.0,2,63
210,-5.0,2,64
215,-5.0,2,64
220,-5.0,2,64
225,-5.0,2,63
230,-5.0,2,63
235,-5.0,2,63
240,-5.0,2,63
245,-5.0,2,64
250,-5.0,2,63
255,-5.0,2,63
260,-5.0,2,63
265,-5.0,2,63
270,-5.0,2,63
275,-5.0,2,63
280,-5.0,2,63
285,-5.0,2,63
290,-5.0,2,63
295,-5.0,2,63
300,-5.0,2,63
0,-5.0,3,55
5,-5.0,3,56
10,-5.0,3,57
15,-5.0,3,58
20,-5.0,3,58
25,-5.0,3,59
30,-5.0,3,59
35,-5.0,3,59
40,-5.0,3,59
45,-5.0,3,60
50,-5.0,3,60
55,-5.0,3,61
60,-5.0,3,61
65,-5.0,3,61
70,-5.0,3,60
75,-5.0,3,60
80,-5.0,3,60
85,-5.0,3,60
90,-5.0,3,60
95,-5.0,3,60
100,-5.0,3,60
105,-5.0,3,60
110,-5.0,3,60
115,-5.0,3,59
120,-5.0,3,59
125,-5.0,3,59
130,-5.0,3,60
135,-5.0,3,59
140,-5.0,3,59
145,-5.0,3,59
150,-5.0,3,59
155,-5.0,3,59
160,-5.0,3,59
165,-5.0,3,59
170,-5.0,3,59
175,-5.0,3,59
180,-5.0,3,59
185,-5.0,3,59
190,-5.0,3,58
195,-5.0,3,58
200,-5.0,3,59
205,-5.0,3,58
210,-5.0,3,59
215,-5.0,3,58
220,-5.0,3,59
225,-5.0,3,58
230,-5.0,3,58
235,-5.0,3,58
240,-5.0,3,58
245,-5.0,3,59
250,-5.0,3,59
255,-5.0,3,58
260,-5.0,3,58
265,-5.0,3,58
270,-5.0,3,58
275,-5.0,3,59
280,-5.0,3,59
285,-5.0,3,58
290,-5.0,3,59
295,-5.0,3,58
300,-5.0,3,59
0,-5.0,4,57
5,-5.0,4,58
10,-5.0,4,59
15,-5.0,4,59
20,-5.0,4,59
25,-5.0,4,60
30,-5.0,4,60
35,-5.0,4,60
40,-5.0,4,60
45,-5.0,4,60
50,-5.0,4,60
55,-5.0,4,60
60,-5.0,4,60
65,-5.0,4,59
70,-5.0,4,59
75,-5.0,4,59
80,-5.0,4,59
85,-5.0,4,59
90,-5.0,4,59
95,-5.0,4,59
100,-5.0,4,59
105,-5.0,4,59
110,-5.0,4,59
115,-5.0,4,59
120,-5.0,4,59
125,-5.0,4,59
130,-5.0,4,59
135,-5.0,4,59
140,-5.0,4,59
145,-5.0,4,59
