Time (s),Carbachol Concentration (log M),Replicate,Fluorescence (RFU)
0,-5.0,1,82
5,-5.0,1,84
10,-5.0,1,85
15,-5.0,1,85
20,-5.0,1,85
25,-5.0,1,85
30,-5.0,1,85
35,-5.0,1,85
40,-5.0,1,84
45,-5.0,1,84
50,-5.0,1,84
55,-5.0,1,83
60,-5.0,1,83
65,-5.0,1,82
70,-5.0,1,82
75,-5.0,1,82
80,-5.0,1,82
85,-5.0,1,82
90,-5.0,1,81
95,-5.0,1,81
100,-5.0,1,81
105,-5.0,1,81
110,-5.0,1,81
115,-5.0,1,80
120,-5.0,1,80
125,-5.0,1,80
130,-5.0,1,80
135,-5.0,1,80
140,-5.0,1,80
145,-5.0,1,79
150,-5.0,1,79
155,-5.0,1,79
160,-5.0,1,79
165,-5.0,1,78
170,-5.0,1,79
175,-5.0,1,79
180,-5.0,1,78
185,-5.0,1,78
190,-5.0,1,78
195,-5.0,1,78
200,-5.0,1,77
205,-5.0,1,77
210,-5.0,1,77
215,-5.0,1,77
220,-5.0,1,77
225,-5.0,1,77
230,-5.0,1,76
235,-5.0,1,76
240,-5.0,1,76
245,-5.0,1,76
250,-5.0,1,76
255,-5.0,1,76
260,-5.0,1,76
265,-5.0,1,76
270,-5.0,1,76
275,-5.0,1,76
280,-5.0,1,75
285,-5.0,1,75
290,-5.0,1,75
295,-5.0,1,75
300,-5.0,1,75
0,-5.0,2,92
5,-5.0,2,95
10,-5.0,2,96
15,-5.0,2,96
20,-5.0,2,97
25,-5.0,2,97
30,-5.0,2,97
35,-5.0,2,97
40,-5.0,2,97
45,-5.0,2,96
50,-5.0,2,96
55,-5.0,2,96
60,-5.0,2,95
65,-5.0,2,95
70,-5.0,2,95
75,-5.0,2,94
80,-5.0,2,94
85,-5.0,2,93
90,-5.0,2,92
95,-5.0,2,92
100,-5.0,2,92
105,-5.0,2,91
110,-5.0,2,90
115,-5.0,2,90
120,-5.0,2,90
125,-5.0,2,90
130,-5.0,2,89
135,-5.0,2,88
140,-5.0,2,88
145,-5.0,2,88
150,-5.0,2,87
155,-5.0,2,87
160,-5.0,2,87
165,-5.0,2,87
170,-5.0,2,87
175,-5.0,2,86
180,-5.0,2,86
185,-5.0,2,85
190,-5.0,2,85
195,-5.0,2,84
200,-5.0,2,84
205,-5.0,2,85
210,-5.0,2,84
215,-5.0,2,84
220,-5.0,2,83
225,-5.0,2,84
230,-5.0,2,83
235,-5.0,2,83
240,-5.0,2,83
245,-5.0,2,83
250,-5.0,2,82
255,-5.0,2,83
260,-5.0,2,82
265,-5.0,2,82
270,-5.0,2,82
275,-5.0,2,82
280,-5.0,2,81
285,-5.0,2,82
290,-5.0,2,82
295,-5.0,2,82
300,-5.0,2,81
0,-5.0,3,91
5,-5.0,3,93
10,-5.0,3,94
15,-5.0,3,95
20,-5.0,3,95
25,-5.0,3,96
30,-5.0,3,96
35,-5.0,3,96
40,-5.0,3,96
45,-5.0,3,96
