Time (s),PAC-3310 Concentration (log M),Replicate,Fluorescence (RFU)
35,-6.0,1,66
40,-6.0,1,66
45,-6.0,1,66
50,-6.0,1,66
55,-6.0,1,66
60,-6.0,1,66
65,-6.0,1,66
70,-6.0,1,66
75,-6.0,1,67
80,-6.0,1,67
85,-6.0,1,67
90,-6.0,1,67
95,-6.0,1,67
100,-6.0,1,67
105,-6.0,1,67
110,-6.0,1,67
115,-6.0,1,67
120,-6.0,1,67
125,-6.0,1,67
130,-6.0,1,68
135,-6.0,1,68
140,-6.0,1,68
145,-6.0,1,67
150,-6.0,1,68
155,-6.0,1,68
160,-6.0,1,68
165,-6.0,1,68
170,-6.0,1,68
175,-6.0,1,68
180,-6.0,1,68
185,-6.0,1,68
190,-6.0,1,68
195,-6.0,1,67
200,-6.0,1,67
205,-6.0,1,68
210,-6.0,1,68
215,-6.0,1,68
220,-6.0,1,68
225,-6.0,1,68
230,-6.0,1,68
235,-6.0,1,67
240,-6.0,1,68
245,-6.0,1,68
250,-6.0,1,68
255,-6.0,1,68
260,-6.0,1,68
265,-6.0,1,68
270,-6.0,1,68
275,-6.0,1,68
280,-6.0,1,67
285,-6.0,1,68
290,-6.0,1,68
295,-6.0,1,68
300,-6.0,1,68
0,-6.0,2,59
5,-6.0,2,60
10,-6.0,2,62
15,-6.0,2,63
20,-6.0,2,64
25,-6.0,2,64
30,-6.0,2,64
35,-6.0,2,65
40,-6.0,2,65
45,-6.0,2,65
50,-6.0,2,66
55,-6.0,2,66
60,-6.0,2,66
65,-6.0,2,66
70,-6.0,2,66
75,-6.0,2,66
80,-6.0,2,66
85,-6.0,2,66
90,-6.0,2,66
95,-6.0,2,66
100,-6.0,2,66
105,-6.0,2,67
110,-6.0,2,67
115,-6.0,2,67
120,-6.0,2,67
125,-6.0,2,67
130,-6.0,2,67
135,-6.0,2,67
140,-6.0,2,67
145,-6.0,2,67
150,-6.0,2,67
155,-6.0,2,67
160,-6.0,2,67
165,-6.0,2,68
170,-6.0,2,67
175,-6.0,2,67
180,-6.0,2,67
185,-6.0,2,68
190,-6.0,2,67
195,-6.0,2,68
200,-6.0,2,67
205,-6.0,2,67
210,-6.0,2,67
215,-6.0,2,68
220,-6.0,2,68
225,-6.0,2,67
230,-6.0,2,67
235,-6.0,2,68
240,-6.0,2,67
245,-6.0,2,68
250,-6.0,2,67
255,-6.0,2,67
260,-6.0,2,67
265,-6.0,2,67
270,-6.0,2,67
275,-6.0,2,67
280,-6.0,2,67
285,-6.0,2,67
290,-6.0,2,67
295,-6.0,2,67
300,-6.0,2,67
0,-6.0,3,62
5,-6.0,3,63
10,-6.0,3,65
15,-6.0,3,65
20,-6.0,3,66
25,-6.0,3,66
30,-6.0,3,67
35,-6.0,3,67
40,-6.0,3,67
45,-6.0,3,67
50,-6.0,3,68
55,-6.0,3,68
60,-6.0,3,68
65,-6.0,3,68
70,-6.0,3,68
75,-6.0,3,68
80,-6.0,3,68
85,-6.0,3,68
90,-6.0,3,68
95,-6.0,3,68
100,-6.0,3,68
105,-6.0,3,68
110,-6.0,3,69
115,-6.0,3,69
120,-6.0,3,68
125,-6.0,3,68
130,-6.0,3,69
135,-6.0,3,69
140,-6.0,3,69
145,-6.0,3,69
150,-6.0,3,69
155,-6.0,3,69
160,-6.0,3,69
165,-6.0,3,69
170,-6.0,3,69
175,-6.0,3,69
180,-6.0,3,69
185,-6.0,3,69
190,-6.0,3,70
195,-6.0,3,69
200,-6.0,3,69
205,-6.0,3,69
210,-6.0,3,69
215,-6.0,3,69
220,-6.0,3,69
225,-6.0,3,69
230,-6.0,3,70
235,-6.0,3,69
240,-6.0,3,69
245,-6.0,3,69
250,-6.0,3,69
255,-6.0,3,69
260,-6.0,3,69
265,-6.0,3,70
270,-6.0,3,69
275,-6.0,3,69
280,-6.0,3,70
285,-6.0,3,69
290,-6.0,3,69
295,-6.0,3,69
300,-6.0,3,69
0,-6.0,4,63
5,-6.0,4,64
10,-6.0,4,65
15,-6.0,4,66
20,-6.0,4,67
25,-6.0,4,68
30,-6.0,4,68
35,-6.0,4,68
40,-6.0,4,68
45,-6.0,4,68
50,-6.0,4,68
55,-6.0,4,68
60,-6.0,4,69
65,-6.0,4,69
70,-6.0,4,68
75,-6.0,4,69
80,-6.0,4,69
85,-6.0,4,69
90,-6.0,4,68
95,-6.0,4,69
100,-6.0,4,68
105,-6.0,4,69
110,-6.0,4,68
115,-6.0,4,69
120,-6.0,4,69
125,-6.0,4,69
130,-6.0,4,69
135,-6.0,4,69
140,-6.0,4,69
145,-6.0,4,69
150,-6.0,4,69
155,-6.0,4,70
160,-6.0,4,69
165,-6.0,4,70
170,-6.0,4,69
175,-6.0,4,69
180,-6.0,4,70
185,-6.0,4,69
190,-6.0,4,70
195,-6.0,4,70
200,-6.0,4,69
205,-6.0,4,69
210,-6.0,4,70
215,-6.0,4,70
220,-6.0,4,70
225,-6.0,4,70
230,-6.0,4,70
235,-6.0,4,70
240,-6.0,4,70
245,-6.0,4,70
250,-6.0,4,70
255,-6.0,4,70
260,-6.0,4,70
265,-6.0,4,70
270,-6.0,4,70
275,-6.0,4,70
280,-6.0,4,70
285,-6.0,4,70
290,-6.0,4,70
295,-6.0,4,70
300,-6.0,4,70
0,-7.0,1,61
5,-7.0,1,62
10,-7.0,1,63
15,-7.0,1,64
20,-7.0,1,64
25,-7.0,1,65
30,-7.0,1,65
35,-7.0,1,66
40,-7.0,1,66
45,-7.0,1,66
50,-7.0,1,66
55,-7.0,1,67
60,-7.0,1,67
65,-7.0,1,67
70,-7.0,1,67
75,-7.0,1,67
80,-7.0,1,67
85,-7.0,1,67
90,-7.0,1,67
95,-7.0,1,67
100,-7.0,1,67
105,-7.0,1,67
110,-7.0,1,67
115,-7.0,1,67
120,-7.0,1,67
125,-7.0,1,67
130,-7.0,1,67
135,-7.0,1,67
140,-7.0,1,68
145,-7.0,1,67
150,-7.0,1,68
155,-7.0,1,67
160,-7.0,1,68
165,-7.0,1,67
170,-7.0,1,68
175,-7.0,1,68
180,-7.0,1,67
185,-7.0,1,68
190,-7.0,1,68
195,-7.0,1,67
200,-7.0,1,68
205,-7.0,1,68
210,-7.0,1,68
215,-7.0,1,68
220,-7.0,1,68
225,-7.0,1,68
230,-7.0,1,68
235,-7.0,1,68
240,-7.0,1,68
245,-7.0,1,68
250,-7.0,1,68
255,-7.0,1,68
260,-7.0,1,68
265,-7.0,1,67
270,-7.0,1,68
275,-7.0,1,67
280,-7.0,1,68
285,-7.0,1,67
290,-7.0,1,67
295,-7.0,1,67
300,-7.0,1,67
0,-7.0,2,61
5,-7.0,2,62
10,-7.0,2,63
15,-7.0,2,63
20,-7.0,2,64
25,-7.0,2,65
30,-7.0,2,65
35,-7.0,2,66
40,-7.0,2,66
45,-7.0,2,66
50,-7.0,2,66
55,-7.0,2,67
60,-7.0,2,67
65,-7.0,2,67
70,-7.0,2,67
75,-7.0,2,67
80,-7.0,2,66
85,-7.0,2,66
90,-7.0,2,67
95,-7.0,2,67
100,-7.0,2,67
105,-7.0,2,67
110,-7.0,2,66
115,-7.0,2,67
120,-7.0,2,67
125,-7.0,2,67
130,-7.0,2,67
135,-7.0,2,67
140,-7.0,2,67
145,-7.0,2,67
150,-7.0,2,68
155,-7.0,2,67
160,-7.0,2,68
165,-7.0,2,67
170,-7.0,2,67
175,-7.0,2,67
180,-7.0,2,67
185,-7.0,2,67
190,-7.0,2,68
195,-7.0,2,68
200,-7.0,2,67
205,-7.0,2,68
210,-7.0,2,67
215,-7.0,2,67
220,-7.0,2,67
225,-7.0,2,68
230,-7.0,2,68
235,-7.0,2,68
240,-7.0,2,67
245,-7.0,2,67
250,-7.0,2,68
255,-7.0,2,67
260,-7.0,2,67
265,-7.0,2,67
270,-7.0,2,67
275,-7.0,2,67
280,-7.0,2,67
285,-7.0,2,68
290,-7.0,2,67
295,-7.0,2,67
300,-7.0,2,67
0,-7.0,3,58
5,-7.0,3,60
10,-7.0,3,60
15,-7.0,3,61
20,-7.0,3,62
25,-7.0,3,62
30,-7.0,3,63
35,-7.0,3,63
40,-7.0,3,63
45,-7.0,3,63
50,-7.0,3,63
55,-7.0,3,63
60,-7.0,3,64
65,-7.0,3,63
70,-7.0,3,63
75,-7.0,3,63
80,-7.0,3,63
85,-7.0,3,63
90,-7.0,3,64
95,-7.0,3,64
100,-7.0,3,63
105,-7.0,3,63
110,-7.0,3,63
115,-7.0,3,64
120,-7.0,3,63
125,-7.0,3,64
130,-7.0,3,64
135,-7.0,3,64
140,-7.0,3,64
145,-7.0,3,64
150,-7.0,3,64
155,-7.0,3,64
160,-7.0,3,64
165,-7.0,3,64
170,-7.0,3,64
175,-7.0,3,64
180,-7.0,3,64
185,-7.0,3,64
190,-7.0,3,64
195,-7.0,3,64
200,-7.0,3,64
205,-7.0,3,64
210,-7.0,3,64
215,-7.0,3,64
220,-7.0,3,64
225,-7.0,3,64
230,-7.0,3,65
235,-7.0,3,64
240,-7.0,3,64
245,-7.0,3,64
250,-7.0,3,64
255,-7.0,3,65
260,-7.0,3,64
265,-7.0,3,64
270,-7.0,3,64
275,-7.0,3,64
280,-7.0,3,64
285,-7.0,3,64
290,-7.0,3,64
295,-7.0,3,64
300,-7.0,3,64
0,-7.0,4,64
5,-7.0,4,64
10,-7.0,4,66
15,-7.0,4,66
20,-7.0,4,67
25,-7.0,4,67
30,-7.0,4,67
35,-7.0,4,68
40,-7.0,4,68
45,-7.0,4,68
50,-7.0,4,68
55,-7.0,4,68
60,-7.0,4,68
65,-7.0,4,68
70,-7.0,4,68
75,-7.0,4,68
80,-7.0,4,68
85,-7.0,4,68
90,-7.0,4,68
95,-7.0,4,68
100,-7.0,4,68
105,-7.0,4,68
110,-7.0,4,68
115,-7.0,4,68
120,-7.0,4,68
125,-7.0,4,68
130,-7.0,4,68
135,-7.0,4,68
140,-7.0,4,68
145,-7.0,4,69
150,-7.0,4,69
155,-7.0,4,69
160,-7.0,4,69
165,-7.0,4,69
170,-7.0,4,69
175,-7.0,4,69
180,-7.0,4,69
185,-7.0,4,69
190,-7.0,4,68
195,-7.0,4,69
200,-7.0,4,69
205,-7.0,4,69
210,-7.0,4,69
215,-7.0,4,69
220,-7.0,4,69
225,-7.0,4,69
230,-7.0,4,69
235,-7.0,4,70
240,-7.0,4,69
245,-7.0,4,69
250,-7.0,4,69
255,-7.0,4,69
260,-7.0,4,69
265,-7.0,4,69
270,-7.0,4,69
275,-7.0,4,69
280,-7.0,4,69
285,-7.0,4,69
290,-7.0,4,69
295,-7.0,4,69
300,-7.0,4,69
0,-8.0,1,62
5,-8.0,1,63
10,-8.0,1,63
15,-8.0,1,65
20,-8.0,1,65
25,-8.0,1,65
30,-8.0,1,65
35,-8.0,1,66
40,-8.0,1,66
45,-8.0,1,66
50,-8.0,1,67
55,-8.0,1,67
60,-8.0,1,67
65,-8.0,1,66
70,-8.0,1,67
75,-8.0,1,67
80,-8.0,1,67
85,-8.0,1,67
90,-8.0,1,67
95,-8.0,1,67
100,-8.0,1,67
105,-8.0,1,67
110,-8.0,1,67
115,-8.0,1,67
120,-8.0,1,67
125,-8.0,1,67
130,-8.0,1,67
135,-8.0,1,67
140,-8.0,1,67
145,-8.0,1,67
150,-8.0,1,68
155,-8.0,1,67
160,-8.0,1,68
165,-8.0,1,67
170,-8.0,1,68
175,-8.0,1,68
180,-8.0,1,68
185,-8.0,1,68
190,-8.0,1,68
195,-8.0,1,68
200,-8.0,1,68
205,-8.0,1,68
210,-8.0,1,68
215,-8.0,1,67
220,-8.0,1,68
225,-8.0,1,68
230,-8.0,1,68
235,-8.0,1,68
240,-8.0,1,68
245,-8.0,1,68
250,-8.0,1,68
255,-8.0,1,68
260,-8.0,1,68
265,-8.0,1,68
270,-8.0,1,68
275,-8.0,1,67
280,-8.0,1,67
285,-8.0,1,67
290,-8.0,1,67
295,-8.0,1,68
300,-8.0,1,67
0,-8.0,2,64
5,-8.0,2,65
10,-8.0,2,66
15,-8.0,2,66
20,-8.0,2,66
25,-8.0,2,66
30,-8.0,2,68
35,-8.0,2,68
40,-8.0,2,68
45,-8.0,2,68
50,-8.0,2,68
55,-8.0,2,69
60,-8.0,2,69
65,-8.0,2,69
70,-8.0,2,68
75,-8.0,2,68
80,-8.0,2,69
85,-8.0,2,69
90,-8.0,2,69
95,-8.0,2,69
100,-8.0,2,69
105,-8.0,2,69
110,-8.0,2,69
115,-8.0,2,69
120,-8.0,2,69
125,-8.0,2,69
130,-8.0,2,69
135,-8.0,2,69
140,-8.0,2,70
145,-8.0,2,70
150,-8.0,2,70
155,-8.0,2,70
160,-8.0,2,70
165,-8.0,2,69
170,-8.0,2,69
175,-8.0,2,70
180,-8.0,2,70
185,-8.0,2,70
190,-8.0,2,70
195,-8.0,2,69
200,-8.0,2,69
205,-8.0,2,69
210,-8.0,2,70
215,-8.0,2,70
220,-8.0,2,70
225,-8.0,2,69
230,-8.0,2,70
235,-8.0,2,70
240,-8.0,2,70
245,-8.0,2,69
250,-8.0,2,69
255,-8.0,2,69
260,-8.0,2,69
265,-8.0,2,70
270,-8.0,2,69
275,-8.0,2,70
280,-8.0,2,70
285,-8.0,2,69
290,-8.0,2,69
295,-8.0,2,69
300,-8.0,2,69
0,-8.0,3,63
5,-8.0,3,64
10,-8.0,3,65
15,-8.0,3,67
20,-8.0,3,67
25,-8.0,3,67
30,-8.0,3,68
35,-8.0,3,68
40,-8.0,3,68
45,-8.0,3,68
50,-8.0,3,68
55,-8.0,3,68
60,-8.0,3,69
65,-8.0,3,68
70,-8.0,3,69
75,-8.0,3,69
80,-8.0,3,69
85,-8.0,3,69
90,-8.0,3,69
95,-8.0,3,69
100,-8.0,3,69
105,-8.0,3,69
110,-8.0,3,70
115,-8.0,3,70
120,-8.0,3,69
125,-8.0,3,69
130,-8.0,3,70
135,-8.0,3,69
140,-8.0,3,70
145,-8.0,3,69
150,-8.0,3,69
155,-8.0,3,70
160,-8.0,3,70
165,-8.0,3,70
170,-8.0,3,70
175,-8.0,3,70
180,-8.0,3,70
185,-8.0,3,70
190,-8.0,3,70
195,-8.0,3,70
200,-8.0,3,70
205,-8.0,3,70
210,-8.0,3,70
215,-8.0,3,70
220,-8.0,3,70
225,-8.0,3,71
230,-8.0,3,70
235,-8.0,3,70
240,-8.0,3,70
245,-8.0,3,70
250,-8.0,3,70
255,-8.0,3,70
260,-8.0,3,70
265,-8.0,3,70
270,-8.0,3,70
275,-8.0,3,70
280,-8.0,3,70
285,-8.0,3,70
290,-8.0,3,70
295,-8.0,3,71
300,-8.0,3,70
0,-8.0,4,67
5,-8.0,4,67
10,-8.0,4,67
15,-8.0,4,68
20,-8.0,4,69
25,-8.0,4,68
30,-8.0,4,69
35,-8.0,4,69
40,-8.0,4,69
45,-8.0,4,69
50,-8.0,4,69
55,-8.0,4,69
60,-8.0,4,69
65,-8.0,4,68
70,-8.0,4,69
75,-8.0,4,69
80,-8.0,4,69
85,-8.0,4,68
90,-8.0,4,68
95,-8.0,4,68
100,-8.0,4,68
105,-8.0,4,68
110,-8.0,4,68
115,-8.0,4,68
120,-8.0,4,68
125,-8.0,4,68
130,-8.0,4,68
135,-8.0,4,68
140,-8.0,4,68
145,-8.0,4,68
150,-8.0,4,68
155,-8.0,4,68
160,-8.0,4,69
165,-8.0,4,69
170,-8.0,4,68
175,-8.0,4,69
180,-8.0,4,69
185,-8.0,4,69
190,-8.0,4,69
195,-8.0,4,69
200,-8.0,4,68
205,-8.0,4,69
210,-8.0,4,69
215,-8.0,4,68
220,-8.0,4,68
225,-8.0,4,69
230,-8.0,4,69
235,-8.0,4,69
240,-8.0,4,69
245,-8.0,4,69
250,-8.0,4,69
255,-8.0,4,69
260,-8.0,4,69
265,-8.0,4,69
270,-8.0,4,69
275,-8.0,4,69
280,-8.0,4,69
285,-8.0,4,69
290,-8.0,4,69
295,-8.0,4,69
300,-8.0,4,69
0,-9.0,1,60
5,-9.0,1,60
10,-9.0,1,61
15,-9.0,1,61
20,-9.0,1,62
25,-9.0,1,62
30,-9.0,1,62
35,-9.0,1,62
40,-9.0,1,63
45,-9.0,1,63
50,-9.0,1,63
55,-9.0,1,63
60,-9.0,1,63
65,-9.0,1,63
70,-9.0,1,63
75,-9.0,1,63
80,-9.0,1,63
85,-9.0,1,63
90,-9.0,1,63
95,-9.0,1,63
100,-9.0,1,63
105,-9.0,1,63
110,-9.0,1,63
115,-9.0,1,63
120,-9.0,1,63
125,-9.0,1,63
130,-9.0,1,63
135,-9.0,1,63
140,-9.0,1,63
145,-9.0,1,63
150,-9.0,1,64
155,-9.0,1,64
160,-9.0,1,63
165,-9.0,1,63
170,-9.0,1,63
175,-9.0,1,64
180,-9.0,1,64
185,-9.0,1,64
190,-9.0,1,64
195,-9.0,1,63
200,-9.0,1,64
205,-9.0,1,64
210,-9.0,1,64
215,-9.0,1,64
220,-9.0,1,63
225,-9.0,1,63
230,-9.0,1,64
235,-9.0,1,64
240,-9.0,1,63
245,-9.0,1,64
250,-9.0,1,63
255,-9.0,1,63
260,-9.0,1,63
265,-9.0,1,63
270,-9.0,1,63
275,-9.0,1,63
280,-9.0,1,63
285,-9.0,1,64
290,-9.0,1,63
295,-9.0,1,63
300,-9.0,1,64
0,-9.0,2,65
5,-9.0,2,65
10,-9.0,2,66
15,-9.0,2,66
20,-9.0,2,67
25,-9.0,2,67
30,-9.0,2,68
35,-9.0,2,68
40,-9.0,2,68
45,-9.0,2,69
50,-9.0,2,68
55,-9.0,2,69
60,-9.0,2,68
65,-9.0,2,69
70,-9.0,2,69
75,-9.0,2,69
80,-9.0,2,69
85,-9.0,2,69
90,-9.0,2,68
95,-9.0,2,69
100,-9.0,2,69
105,-9.0,2,69
110,-9.0,2,69
115,-9.0,2,69
120,-9.0,2,69
125,-9.0,2,69
130,-9.0,2,69
135,-9.0,2,69
140,-9.0,2,69
145,-9.0,2,70
150,-9.0,2,69
155,-9.0,2,70
160,-9.0,2,70
165,-9.0,2,70
170,-9.0,2,69
175,-9.0,2,70
180,-9.0,2,69
185,-9.0,2,69
190,-9.0,2,70
195,-9.0,2,69
200,-9.0,2,69
205,-9.0,2,70
210,-9.0,2,69
215,-9.0,2,70
220,-9.0,2,69
225,-9.0,2,69
230,-9.0,2,70
235,-9.0,2,70
240,-9.0,2,70
245,-9.0,2,70
250,-9.0,2,69
255,-9.0,2,70
260,-9.0,2,70
265,-9.0,2,70
270,-9.0,2,70
275,-9.0,2,70
280,-9.0,2,69
285,-9.0,2,69
290,-9.0,2,69
295,-9.0,2,70
300,-9.0,2,70
0,-9.0,3,63
5,-9.0,3,64
10,-9.0,3,65
15,-9.0,3,66
20,-9.0,3,66
25,-9.0,3,67
30,-9.0,3,67
35,-9.0,3,68
40,-9.0,3,67
45,-9.0,3,68
50,-9.0,3,67
55,-9.0,3,68
60,-9.0,3,68
65,-9.0,3,68
70,-9.0,3,68
75,-9.0,3,68
80,-9.0,3,68
85,-9.0,3,69
90,-9.0,3,68
95,-9.0,3,68
100,-9.0,3,68
105,-9.0,3,69
110,-9.0,3,69
115,-9.0,3,69
120,-9.0,3,69
125,-9.0,3,69
130,-9.0,3,69
135,-9.0,3,69
140,-9.0,3,69
145,-9.0,3,69
150,-9.0,3,69
155,-9.0,3,69
160,-9.0,3,69
165,-9.0,3,70
170,-9.0,3,70
175,-9.0,3,69
180,-9.0,3,70
185,-9.0,3,69
190,-9.0,3,70
195,-9.0,3,70
200,-9.0,3,70
205,-9.0,3,69
210,-9.0,3,69
215,-9.0,3,70
220,-9.0,3,70
225,-9.0,3,70
