Time (s),PAC-3310 Concentration (log M),Replicate,Fluorescence (RFU)
0,-5.0,1,64
5,-5.0,1,64
10,-5.0,1,63
15,-5.0,1,63
20,-5.0,1,63
25,-5.0,1,62
30,-5.0,1,62
35,-5.0,1,62
40,-5.0,1,62
45,-5.0,1,61
50,-5.0,1,61
55,-5.0,1,60
60,-5.0,1,60
65,-5.0,1,59
70,-5.0,1,59
75,-5.0,1,58
80,-5.0,1,58
85,-5.0,1,57
90,-5.0,1,57
95,-5.0,1,56
100,-5.0,1,56
105,-5.0,1,56
110,-5.0,1,55
115,-5.0,1,55
120,-5.0,1,55
125,-5.0,1,55
130,-5.0,1,55
135,-5.0,1,54
140,-5.0,1,54
145,-5.0,1,54
150,-5.0,1,54
155,-5.0,1,53
160,-5.0,1,53
165,-5.0,1,53
170,-5.0,1,53
175,-5.0,1,53
180,-5.0,1,53
185,-5.0,1,53
190,-5.0,1,52
195,-5.0,1,52
200,-5.0,1,52
205,-5.0,1,52
210,-5.0,1,52
215,-5.0,1,52
220,-5.0,1,52
225,-5.0,1,52
230,-5.0,1,52
235,-5.0,1,52
240,-5.0,1,52
245,-5.0,1,52
250,-5.0,1,52
255,-5.0,1,51
260,-5.0,1,51
265,-5.0,1,51
270,-5.0,1,52
275,-5.0,1,51
280,-5.0,1,51
285,-5.0,1,51
290,-5.0,1,51
295,-5.0,1,51
300,-5.0,1,51
0,-5.0,2,60
5,-5.0,2,63
10,-5.0,2,64
15,-5.0,2,65
20,-5.0,2,65
25,-5.0,2,66
30,-5.0,2,67
35,-5.0,2,67
40,-5.0,2,68
45,-5.0,2,68
50,-5.0,2,69
55,-5.0,2,69
60,-5.0,2,68
65,-5.0,2,68
70,-5.0,2,68
75,-5.0,2,68
80,-5.0,2,68
85,-5.0,2,67
90,-5.0,2,67
95,-5.0,2,67
100,-5.0,2,66
105,-5.0,2,66
110,-5.0,2,65
115,-5.0,2,65
120,-5.0,2,65
125,-5.0,2,64
130,-5.0,2,64
135,-5.0,2,64
140,-5.0,2,64
145,-5.0,2,63
150,-5.0,2,63
155,-5.0,2,63
160,-5.0,2,62
165,-5.0,2,62
170,-5.0,2,62
175,-5.0,2,62
180,-5.0,2,61
185,-5.0,2,61
190,-5.0,2,61
195,-5.0,2,60
200,-5.0,2,60
205,-5.0,2,60
210,-5.0,2,60
215,-5.0,2,59
220,-5.0,2,59
225,-5.0,2,59
230,-5.0,2,59
235,-5.0,2,59
240,-5.0,2,59
245,-5.0,2,59
250,-5.0,2,58
255,-5.0,2,58
260,-5.0,2,58
265,-5.0,2,57
270,-5.0,2,57
275,-5.0,2,57
280,-5.0,2,57
285,-5.0,2,57
290,-5.0,2,57
295,-5.0,2,56
300,-5.0,2,56
0,-5.0,3,56
5,-5.0,3,58
10,-5.0,3,60
15,-5.0,3,62
20,-5.0,3,63
25,-5.0,3,63
30,-5.0,3,64
35,-5.0,3,65
40,-5.0,3,65
45,-5.0,3,66
50,-5.0,3,66
55,-5.0,3,66
60,-5.0,3,66
65,-5.0,3,66
70,-5.0,3,66
75,-5.0,3,66
80,-5.0,3,66
85,-5.0,3,66
90,-5.0,3,65
95,-5.0,3,65
100,-5.0,3,64
105,-5.0,3,64
110,-5.0,3,64
115,-5.0,3,64
120,-5.0,3,64
125,-5.0,3,63
130,-5.0,3,63
135,-5.0,3,63
140,-5.0,3,63
145,-5.0,3,62
150,-5.0,3,62
155,-5.0,3,62
160,-5.0,3,62
165,-5.0,3,61
170,-5.0,3,61
175,-5.0,3,61
180,-5.0,3,60
185,-5.0,3,60
190,-5.0,3,60
195,-5.0,3,60
200,-5.0,3,59
205,-5.0,3,59
210,-5.0,3,59
215,-5.0,3,59
220,-5.0,3,59
225,-5.0,3,59
230,-5.0,3,58
235,-5.0,3,58
240,-5.0,3,58
245,-5.0,3,58
250,-5.0,3,57
255,-5.0,3,57
260,-5.0,3,57
265,-5.0,3,57
270,-5.0,3,57
275,-5.0,3,57
280,-5.0,3,57
285,-5.0,3,56
290,-5.0,3,56
295,-5.0,3,56
300,-5.0,3,56
0,-5.0,4,52
5,-5.0,4,54
10,-5.0,4,55
15,-5.0,4,56
20,-5.0,4,58
25,-5.0,4,58
30,-5.0,4,59
35,-5.0,4,59
40,-5.0,4,60
45,-5.0,4,60
50,-5.0,4,60
55,-5.0,4,61
60,-5.0,4,61
65,-5.0,4,61
70,-5.0,4,61
75,-5.0,4,61
80,-5.0,4,61
85,-5.0,4,61
90,-5.0,4,61
95,-5.0,4,61
100,-5.0,4,60
105,-5.0,4,60
110,-5.0,4,60
115,-5.0,4,60
120,-5.0,4,60
125,-5.0,4,60
130,-5.0,4,59
135,-5.0,4,59
140,-5.0,4,59
145,-5.0,4,59
150,-5.0,4,59
155,-5.0,4,58
160,-5.0,4,58
165,-5.0,4,57
170,-5.0,4,58
175,-5.0,4,58
180,-5.0,4,57
185,-5.0,4,57
190,-5.0,4,56
195,-5.0,4,56
200,-5.0,4,57
205,-5.0,4,56
210,-5.0,4,56
215,-5.0,4,56
220,-5.0,4,55
225,-5.0,4,56
230,-5.0,4,55
235,-5.0,4,55
240,-5.0,4,55
245,-5.0,4,55
250,-5.0,4,55
255,-5.0,4,54
260,-5.0,4,54
265,-5.0,4,54
270,-5.0,4,54
275,-5.0,4,54
280,-5.0,4,54
285,-5.0,4,53
290,-5.0,4,54
295,-5.0,4,53
300,-5.0,4,53
0,-6.0,1,56
5,-6.0,1,57
10,-6.0,1,58
15,-6.0,1,59
20,-6.0,1,59
25,-6.0,1,59
30,-6.0,1,59
35,-6.0,1,60
40,-6.0,1,60
45,-6.0,1,59
50,-6.0,1,60
55,-6.0,1,59
60,-6.0,1,59
65,-6.0,1,59
70,-6.0,1,59
75,-6.0,1,59
80,-6.0,1,58
85,-6.0,1,58
90,-6.0,1,58
95,-6.0,1,58
100,-6.0,1,57
105,-6.0,1,57
110,-6.0,1,57
115,-6.0,1,57
120,-6.0,1,57
125,-6.0,1,57
130,-6.0,1,56
135,-6.0,1,56
140,-6.0,1,56
145,-6.0,1,56
150,-6.0,1,56
155,-6.0,1,55
160,-6.0,1,55
165,-6.0,1,55
170,-6.0,1,55
175,-6.0,1,55
180,-6.0,1,55
185,-6.0,1,54
190,-6.0,1,54
195,-6.0,1,54
200,-6.0,1,54
205,-6.0,1,54
210,-6.0,1,55
215,-6.0,1,54
220,-6.0,1,54
225,-6.0,1,54
230,-6.0,1,54
235,-6.0,1,53
240,-6.0,1,53
245,-6.0,1,53
250,-6.0,1,53
255,-6.0,1,53
260,-6.0,1,53
265,-6.0,1,54
270,-6.0,1,53
275,-6.0,1,53
280,-6.0,1,53
285,-6.0,1,53
290,-6.0,1,53
295,-6.0,1,53
300,-6.0,1,53
0,-6.0,2,64
5,-6.0,2,66
10,-6.0,2,67
15,-6.0,2,68
20,-6.0,2,69
25,-6.0,2,70
30,-6.0,2,71
35,-6.0,2,71
40,-6.0,2,72
45,-6.0,2,72
50,-6.0,2,72
55,-6.0,2,72
60,-6.0,2,72
65,-6.0,2,72
70,-6.0,2,72
75,-6.0,2,72
80,-6.0,2,72
85,-6.0,2,71
90,-6.0,2,71
95,-6.0,2,71
100,-6.0,2,71
105,-6.0,2,70
110,-6.0,2,70
115,-6.0,2,69
120,-6.0,2,69
125,-6.0,2,68
130,-6.0,2,68
135,-6.0,2,68
140,-6.0,2,68
145,-6.0,2,67
150,-6.0,2,67
155,-6.0,2,67
160,-6.0,2,66
165,-6.0,2,66
170,-6.0,2,66
175,-6.0,2,66
180,-6.0,2,65
185,-6.0,2,65
190,-6.0,2,65
195,-6.0,2,64
200,-6.0,2,64
205,-6.0,2,64
210,-6.0,2,63
215,-6.0,2,64
220,-6.0,2,63
225,-6.0,2,63
230,-6.0,2,62
235,-6.0,2,62
240,-6.0,2,62
245,-6.0,2,62
250,-6.0,2,62
255,-6.0,2,61
260,-6.0,2,61
265,-6.0,2,61
270,-6.0,2,61
275,-6.0,2,61
280,-6.0,2,60
285,-6.0,2,60
290,-6.0,2,60
295,-6.0,2,60
300,-6.0,2,60
0,-6.0,3,58
5,-6.0,3,60
10,-6.0,3,62
15,-6.0,3,62
20,-6.0,3,63
25,-6.0,3,63
30,-6.0,3,64
35,-6.0,3,64
40,-6.0,3,65
45,-6.0,3,65
50,-6.0,3,65
55,-6.0,3,65
60,-6.0,3,65
65,-6.0,3,65
70,-6.0,3,65
75,-6.0,3,65
80,-6.0,3,65
85,-6.0,3,65
