Time (s),PAC-3310 Concentration (log M),Replicate,Fluorescence (RFU)
0,-5.0,1,46
6,-5.0,1,46
12,-5.0,1,48
18,-5.0,1,48
24,-5.0,1,48
30,-5.0,1,49
36,-5.0,1,49
42,-5.0,1,49
48,-5.0,1,50
54,-5.0,1,50
60,-5.0,1,50
66,-5.0,1,50
72,-5.0,1,50
78,-5.0,1,50
84,-5.0,1,51
90,-5.0,1,51
96,-5.0,1,51
102,-5.0,1,51
108,-5.0,1,51
114,-5.0,1,51
120,-5.0,1,51
126,-5.0,1,51
132,-5.0,1,51
138,-5.0,1,51
144,-5.0,1,51
150,-5.0,1,51
156,-5.0,1,52
162,-5.0,1,51
168,-5.0,1,52
174,-5.0,1,51
180,-5.0,1,51
186,-5.0,1,51
192,-5.0,1,51
198,-5.0,1,51
204,-5.0,1,51
210,-5.0,1,50
216,-5.0,1,51
222,-5.0,1,50
228,-5.0,1,50
234,-5.0,1,50
240,-5.0,1,50
246,-5.0,1,50
252,-5.0,1,50
258,-5.0,1,49
264,-5.0,1,49
270,-5.0,1,50
276,-5.0,1,49
282,-5.0,1,49
288,-5.0,1,49
294,-5.0,1,48
300,-5.0,1,49
0,-5.0,2,45
5,-5.0,2,46
10,-5.0,2,46
15,-5.0,2,47
20,-5.0,2,47
25,-5.0,2,47
30,-5.0,2,47
35,-5.0,2,48
40,-5.0,2,48
45,-5.0,2,48
50,-5.0,2,48
55,-5.0,2,48
60,-5.0,2,48
65,-5.0,2,49
70,-5.0,2,49
75,-5.0,2,49
80,-5.0,2,48
85,-5.0,2,49
90,-5.0,2,49
95,-5.0,2,49
100,-5.0,2,49
105,-5.0,2,48
110,-5.0,2,48
115,-5.0,2,48
120,-5.0,2,48
125,-5.0,2,48
130,-5.0,2,48
135,-5.0,2,48
140,-5.0,2,48
145,-5.0,2,48
150,-5.0,2,48
155,-5.0,2,48
160,-5.0,2,48
165,-5.0,2,48
170,-5.0,2,48
175,-5.0,2,48
180,-5.0,2,48
185,-5.0,2,48
190,-5.0,2,48
195,-5.0,2,48
200,-5.0,2,47
205,-5.0,2,47
210,-5.0,2,48
215,-5.0,2,48
220,-5.0,2,47
225,-5.0,2,47
230,-5.0,2,47
235,-5.0,2,47
240,-5.0,2,47
245,-5.0,2,47
250,-5.0,2,47
255,-5.0,2,47
260,-5.0,2,47
265,-5.0,2,47
270,-5.0,2,47
275,-5.0,2,47
280,-5.0,2,47
285,-5.0,2,47
290,-5.0,2,47
295,-5.0,2,47
300,-5.0,2,47
0,-5.0,3,43
5,-5.0,3,45
10,-5.0,3,45
15,-5.0,3,46
20,-5.0,3,46
25,-5.0,3,47
30,-5.0,3,47
35,-5.0,3,47
40,-5.0,3,47
45,-5.0,3,47
50,-5.0,3,48
55,-5.0,3,48
60,-5.0,3,48
65,-5.0,3,48
70,-5.0,3,48
75,-5.0,3,48
80,-5.0,3,48
85,-5.0,3,49
90,-5.0,3,48
95,-5.0,3,49
100,-5.0,3,48
105,-5.0,3,48
110,-5.0,3,49
115,-5.0,3,48
120,-5.0,3,48
125,-5.0,3,48
130,-5.0,3,49
135,-5.0,3,48
140,-5.0,3,48
145,-5.0,3,49
150,-5.0,3,48
155,-5.0,3,48
160,-5.0,3,48
165,-5.0,3,48
170,-5.0,3,48
175,-5.0,3,48
180,-5.0,3,48
185,-5.0,3,48
190,-5.0,3,48
195,-5.0,3,47
200,-5.0,3,48
205,-5.0,3,47
210,-5.0,3,47
215,-5.0,3,47
220,-5.0,3,47
225,-5.0,3,47
230,-5.0,3,47
235,-5.0,3,47
240,-5.0,3,47
245,-5.0,3,47
250,-5.0,3,48
255,-5.0,3,47
260,-5.0,3,47
265,-5.0,3,47
270,-5.0,3,47
275,-5.0,3,47
280,-5.0,3,47
285,-5.0,3,47
290,-5.0,3,47
295,-5.0,3,47
300,-5.0,3,47
0,-5.0,4,47
5,-5.0,4,48
10,-5.0,4,48
15,-5.0,4,48
20,-5.0,4,49
25,-5.0,4,49
30,-5.0,4,50
35,-5.0,4,49
40,-5.0,4,50
45,-5.0,4,50
50,-5.0,4,50
55,-5.0,4,51
60,-5.0,4,50
65,-5.0,4,51
70,-5.0,4,51
75,-5.0,4,51
80,-5.0,4,51
85,-5.0,4,51
90,-5.0,4,51
95,-5.0,4,51
100,-5.0,4,51
105,-5.0,4,51
110,-5.0,4,51
115,-5.0,4,51
120,-5.0,4,51
125,-5.0,4,51
130,-5.0,4,51
135,-5.0,4,51
140,-5.0,4,51
145,-5.0,4,51
150,-5.0,4,51
155,-5.0,4,51
160,-5.0,4,51
165,-5.0,4,51
170,-5.0,4,51
175,-5.0,4,51
180,-5.0,4,51
185,-5.0,4,51
190,-5.0,4,51
195,-5.0,4,50
200,-5.0,4,51
205,-5.0,4,50
210,-5.0,4,50
215,-5.0,4,50
220,-5.0,4,50
225,-5.0,4,50
230,-5.0,4,50
235,-5.0,4,50
240,-5.0,4,50
245,-5.0,4,50
250,-5.0,4,50
255,-5.0,4,50
260,-5.0,4,49
265,-5.0,4,50
270,-5.0,4,49
275,-5.0,4,49
280,-5.0,4,49
285,-5.0,4,49
290,-5.0,4,49
295,-5.0,4,49
300,-5.0,4,49
0,-6.0,1,48
6,-6.0,1,48
12,-6.0,1,49
18,-6.0,1,49
24,-6.0,1,49
30,-6.0,1,49
36,-6.0,1,49
42,-6.0,1,49
48,-6.0,1,49
54,-6.0,1,49
60,-6.0,1,50
66,-6.0,1,50
72,-6.0,1,50
78,-6.0,1,50
84,-6.0,1,49
90,-6.0,1,50
96,-6.0,1,49
102,-6.0,1,49
108,-6.0,1,50
114,-6.0,1,49
120,-6.0,1,50
126,-6.0,1,50
132,-6.0,1,50
138,-6.0,1,50
144,-6.0,1,50
150,-6.0,1,50
156,-6.0,1,50
162,-6.0,1,50
168,-6.0,1,50
174,-6.0,1,50
180,-6.0,1,50
186,-6.0,1,50
192,-6.0,1,50
198,-6.0,1,50
204,-6.0,1,50
210,-6.0,1,50
216,-6.0,1,50
222,-6.0,1,50
228,-6.0,1,50
234,-6.0,1,50
240,-6.0,1,50
246,-6.0,1,50
252,-6.0,1,50
258,-6.0,1,50
264,-6.0,1,50
270,-6.0,1,50
276,-6.0,1,50
282,-6.0,1,50
288,-6.0,1,50
294,-6.0,1,50
300,-6.0,1,50
0,-6.0,2,48
5,-6.0,2,48
10,-6.0,2,49
15,-6.0,2,49
20,-6.0,2,49
25,-6.0,2,49
30,-6.0,2,49
35,-6.0,2,49
40,-6.0,2,49
45,-6.0,2,49
50,-6.0,2,50
55,-6.0,2,49
60,-6.0,2,49
65,-6.0,2,49
70,-6.0,2,49
75,-6.0,2,50
80,-6.0,2,50
85,-6.0,2,50
90,-6.0,2,49
95,-6.0,2,49
100,-6.0,2,49
105,-6.0,2,49
110,-6.0,2,49
115,-6.0,2,50
120,-6.0,2,49
125,-6.0,2,50
130,-6.0,2,50
135,-6.0,2,50
140,-6.0,2,49
145,-6.0,2,49
150,-6.0,2,49
155,-6.0,2,50
160,-6.0,2,50
165,-6.0,2,49
170,-6.0,2,49
175,-6.0,2,50
180,-6.0,2,50
185,-6.0,2,50
190,-6.0,2,50
195,-6.0,2,50
200,-6.0,2,50
205,-6.0,2,50
210,-6.0,2,50
215,-6.0,2,50
220,-6.0,2,50
225,-6.0,2,50
230,-6.0,2,50
235,-6.0,2,50
240,-6.0,2,50
245,-6.0,2,50
250,-6.0,2,50
255,-6.0,2,50
260,-6.0,2,50
265,-6.0,2,50
270,-6.0,2,50
275,-6.0,2,50
280,-6.0,2,50
285,-6.0,2,50
290,-6.0,2,50
295,-6.0,2,50
300,-6.0,2,50
0,-6.0,3,48
5,-6.0,3,48
10,-6.0,3,48
15,-6.0,3,49
20,-6.0,3,49
25,-6.0,3,49
30,-6.0,3,49
35,-6.0,3,49
40,-6.0,3,50
45,-6.0,3,49
50,-6.0,3,49
55,-6.0,3,50
60,-6.0,3,49
65,-6.0,3,49
70,-6.0,3,49
75,-6.0,3,49
80,-6.0,3,49
85,-6.0,3,49
90,-6.0,3,49
95,-6.0,3,49
100,-6.0,3,49
105,-6.0,3,49
110,-6.0,3,50
115,-6.0,3,49
120,-6.0,3,50
125,-6.0,3,50
130,-6.0,3,50
135,-6.0,3,49
140,-6.0,3,49
