Time (s),Carbachol Concentration (log M),Replicate,Fluorescence (RFU)
0,-5.0,1,103
5,-5.0,1,107
10,-5.0,1,108
15,-5.0,1,108
20,-5.0,1,109
25,-5.0,1,109
30,-5.0,1,108
35,-5.0,1,108
40,-5.0,1,108
45,-5.0,1,108
50,-5.0,1,107
55,-5.0,1,107
60,-5.0,1,107
65,-5.0,1,106
70,-5.0,1,106
75,-5.0,1,106
80,-5.0,1,106
85,-5.0,1,105
90,-5.0,1,105
95,-5.0,1,104
100,-5.0,1,104
105,-5.0,1,104
110,-5.0,1,103
115,-5.0,1,103
120,-5.0,1,103
125,-5.0,1,103
130,-5.0,1,102
135,-5.0,1,103
140,-5.0,1,102
145,-5.0,1,102
150,-5.0,1,101
155,-5.0,1,102
160,-5.0,1,101
165,-5.0,1,101
170,-5.0,1,102
175,-5.0,1,101
180,-5.0,1,101
185,-5.0,1,101
190,-5.0,1,100
195,-5.0,1,101
200,-5.0,1,100
205,-5.0,1,100
210,-5.0,1,100
215,-5.0,1,99
220,-5.0,1,100
225,-5.0,1,100
230,-5.0,1,99
235,-5.0,1,99
240,-5.0,1,99
245,-5.0,1,99
250,-5.0,1,99
255,-5.0,1,98
260,-5.0,1,98
265,-5.0,1,98
270,-5.0,1,98
275,-5.0,1,98
280,-5.0,1,98
285,-5.0,1,98
290,-5.0,1,98
295,-5.0,1,97
300,-5.0,1,97
0,-5.0,2,111
5,-5.0,2,116
10,-5.0,2,120
15,-5.0,2,122
20,-5.0,2,124
25,-5.0,2,126
30,-5.0,2,127
35,-5.0,2,129
40,-5.0,2,129
45,-5.0,2,130
50,-5.0,2,131
55,-5.0,2,131
60,-5.0,2,130
65,-5.0,2,131
70,-5.0,2,131
75,-5.0,2,130
80,-5.0,2,129
85,-5.0,2,129
90,-5.0,2,128
95,-5.0,2,127
100,-5.0,2,127
105,-5.0,2,125
110,-5.0,2,125
115,-5.0,2,124
120,-5.0,2,123
125,-5.0,2,122
130,-5.0,2,122
135,-5.0,2,121
140,-5.0,2,119
145,-5.0,2,119
150,-5.0,2,118
155,-5.0,2,118
160,-5.0,2,117
165,-5.0,2,116
170,-5.0,2,115
175,-5.0,2,115
180,-5.0,2,114
185,-5.0,2,114
190,-5.0,2,113
195,-5.0,2,113
200,-5.0,2,112
205,-5.0,2,112
210,-5.0,2,112
215,-5.0,2,111
220,-5.0,2,111
225,-5.0,2,110
230,-5.0,2,109
235,-5.0,2,109
240,-5.0,2,109
245,-5.0,2,108
250,-5.0,2,108
255,-5.0,2,108
260,-5.0,2,108
265,-5.0,2,107
270,-5.0,2,107
275,-5.0,2,106
280,-5.0,2,106
285,-5.0,2,105
290,-5.0,2,106
295,-5.0,2,105
300,-5.0,2,105
0,-5.0,3,105
5,-5.0,3,111
10,-5.0,3,115
15,-5.0,3,118
20,-5.0,3,120
25,-5.0,3,122
30,-5.0,3,123
35,-5.0,3,125
40,-5.0,3,125
45,-5.0,3,126
50,-5.0,3,127
55,-5.0,3,127
60,-5.0,3,127
65,-5.0,3,127
70,-5.0,3,127
75,-5.0,3,127
80,-5.0,3,126
85,-5.0,3,126
90,-5.0,3,125
95,-5.0,3,125
100,-5.0,3,124
105,-5.0,3,124
110,-5.0,3,123
115,-5.0,3,122
120,-5.0,3,122
125,-5.0,3,121
130,-5.0,3,120
135,-5.0,3,119
140,-5.0,3,118
145,-5.0,3,117
150,-5.0,3,117
155,-5.0,3,116
160,-5.0,3,115
165,-5.0,3,115
170,-5.0,3,115
175,-5.0,3,114
180,-5.0,3,113
185,-5.0,3,112
190,-5.0,3,112
195,-5.0,3,110
200,-5.0,3,110
205,-5.0,3,109
210,-5.0,3,109
215,-5.0,3,108
220,-5.0,3,108
225,-5.0,3,107
230,-5.0,3,107
235,-5.0,3,107
240,-5.0,3,106
245,-5.0,3,105
250,-5.0,3,105
255,-5.0,3,105
260,-5.0,3,104
265,-5.0,3,103
270,-5.0,3,103
275,-5.0,3,103
280,-5.0,3,103
285,-5.0,3,102
290,-5.0,3,102
295,-5.0,3,101
300,-5.0,3,101
0,-5.0,4,103
5,-5.0,4,109
10,-5.0,4,113
15,-5.0,4,115
20,-5.0,4,117
25,-5.0,4,120
30,-5.0,4,121
35,-5.0,4,122
40,-5.0,4,122
45,-5.0,4,123
50,-5.0,4,123
55,-5.0,4,124
60,-5.0,4,124
65,-5.0,4,124
70,-5.0,4,124
75,-5.0,4,123
80,-5.0,4,123
85,-5.0,4,122
90,-5.0,4,122
95,-5.0,4,121
100,-5.0,4,120
105,-5.0,4,120
110,-5.0,4,119
115,-5.0,4,118
