Time (s),Carbachol Concentration (log M),Replicate,Fluorescence (RFU)
120,-5.0,4,118
125,-5.0,4,117
130,-5.0,4,116
135,-5.0,4,115
140,-5.0,4,115
145,-5.0,4,114
150,-5.0,4,113
155,-5.0,4,113
160,-5.0,4,112
165,-5.0,4,111
170,-5.0,4,111
175,-5.0,4,111
180,-5.0,4,110
185,-5.0,4,109
190,-5.0,4,108
195,-5.0,4,108
200,-5.0,4,107
205,-5.0,4,106
210,-5.0,4,106
215,-5.0,4,105
220,-5.0,4,105
225,-5.0,4,104
230,-5.0,4,104
235,-5.0,4,103
240,-5.0,4,103
245,-5.0,4,103
250,-5.0,4,102
255,-5.0,4,102
260,-5.0,4,101
265,-5.0,4,101
270,-5.0,4,100
275,-5.0,4,100
280,-5.0,4,99
285,-5.0,4,99
290,-5.0,4,99
295,-5.0,4,99
300,-5.0,4,99
0,-6.0,1,96
5,-6.0,1,97
10,-6.0,1,97
15,-6.0,1,97
20,-6.0,1,96
25,-6.0,1,94
30,-6.0,1,93
35,-6.0,1,92
40,-6.0,1,91
45,-6.0,1,90
50,-6.0,1,89
55,-6.0,1,88
60,-6.0,1,87
65,-6.0,1,87
70,-6.0,1,86
75,-6.0,1,86
80,-6.0,1,86
85,-6.0,1,86
90,-6.0,1,85
95,-6.0,1,85
100,-6.0,1,85
105,-6.0,1,85
110,-6.0,1,85
115,-6.0,1,84
120,-6.0,1,85
125,-6.0,1,85
130,-6.0,1,85
135,-6.0,1,85
140,-6.0,1,85
145,-6.0,1,85
150,-6.0,1,85
155,-6.0,1,85
160,-6.0,1,85
165,-6.0,1,84
170,-6.0,1,84
175,-6.0,1,85
180,-6.0,1,85
185,-6.0,1,85
190,-6.0,1,85
195,-6.0,1,85
200,-6.0,1,85
205,-6.0,1,84
210,-6.0,1,85
215,-6.0,1,85
220,-6.0,1,85
225,-6.0,1,85
230,-6.0,1,84
235,-6.0,1,85
240,-6.0,1,85
245,-6.0,1,85
250,-6.0,1,85
255,-6.0,1,85
260,-6.0,1,85
265,-6.0,1,85
270,-6.0,1,85
275,-6.0,1,85
280,-6.0,1,84
285,-6.0,1,85
290,-6.0,1,84
295,-6.0,1,84
300,-6.0,1,85
0,-6.0,2,94
5,-6.0,2,98
10,-6.0,2,101
15,-6.0,2,103
20,-6.0,2,104
25,-6.0,2,106
30,-6.0,2,107
35,-6.0,2,108
40,-6.0,2,109
45,-6.0,2,110
50,-6.0,2,110
55,-6.0,2,109
60,-6.0,2,109
65,-6.0,2,110
70,-6.0,2,109
75,-6.0,2,109
80,-6.0,2,108
85,-6.0,2,107
90,-6.0,2,107
95,-6.0,2,106
100,-6.0,2,105
105,-6.0,2,105
110,-6.0,2,104
115,-6.0,2,103
120,-6.0,2,103
125,-6.0,2,102
130,-6.0,2,101
135,-6.0,2,101
140,-6.0,2,100
145,-6.0,2,99
150,-6.0,2,99
155,-6.0,2,98
160,-6.0,2,97
165,-6.0,2,97
170,-6.0,2,97
175,-6.0,2,95
180,-6.0,2,96
185,-6.0,2,95
190,-6.0,2,94
195,-6.0,2,94
200,-6.0,2,93
205,-6.0,2,93
210,-6.0,2,93
215,-6.0,2,92
220,-6.0,2,92
225,-6.0,2,91
230,-6.0,2,91
235,-6.0,2,91
240,-6.0,2,90
245,-6.0,2,91
250,-6.0,2,90
255,-6.0,2,89
260,-6.0,2,90
265,-6.0,2,89
270,-6.0,2,89
275,-6.0,2,88
280,-6.0,2,89
285,-6.0,2,88
290,-6.0,2,88
295,-6.0,2,88
300,-6.0,2,88
0,-6.0,3,90
5,-6.0,3,95
10,-6.0,3,98
15,-6.0,3,100
20,-6.0,3,101
25,-6.0,3,103
30,-6.0,3,104
35,-6.0,3,105
40,-6.0,3,106
45,-6.0,3,106
50,-6.0,3,106
55,-6.0,3,106
60,-6.0,3,106
65,-6.0,3,106
70,-6.0,3,106
75,-6.0,3,106
80,-6.0,3,105
85,-6.0,3,105
90,-6.0,3,104
95,-6.0,3,104
100,-6.0,3,103
105,-6.0,3,102
110,-6.0,3,102
115,-6.0,3,101
120,-6.0,3,100
125,-6.0,3,99
130,-6.0,3,98
135,-6.0,3,98
140,-6.0,3,98
145,-6.0,3,96
150,-6.0,3,96
155,-6.0,3,95
160,-6.0,3,95
165,-6.0,3,94
170,-6.0,3,94
175,-6.0,3,93
180,-6.0,3,93
185,-6.0,3,92
190,-6.0,3,92
195,-6.0,3,91
200,-6.0,3,90
205,-6.0,3,90
210,-6.0,3,89
215,-6.0,3,89
220,-6.0,3,88
225,-6.0,3,88
230,-6.0,3,88
235,-6.0,3,87
240,-6.0,3,87
245,-6.0,3,87
250,-6.0,3,86
255,-6.0,3,86
260,-6.0,3,85
265,-6.0,3,85
270,-6.0,3,85
275,-6.0,3,85
280,-6.0,3,85
285,-6.0,3,84
290,-6.0,3,84
295,-6.0,3,84
300,-6.0,3,84
0,-6.0,4,88
5,-6.0,4,93
10,-6.0,4,96
15,-6.0,4,98
20,-6.0,4,101
25,-6.0,4,102
30,-6.0,4,103
35,-6.0,4,104
40,-6.0,4,105
45,-6.0,4,105
50,-6.0,4,106
55,-6.0,4,106
60,-6.0,4,106
65,-6.0,4,107
70,-6.0,4,106
75,-6.0,4,106
80,-6.0,4,106
85,-6.0,4,105
90,-6.0,4,105
95,-6.0,4,104
100,-6.0,4,104
105,-6.0,4,103
110,-6.0,4,103
115,-6.0,4,103
120,-6.0,4,102
125,-6.0,4,101
130,-6.0,4,101
135,-6.0,4,100
140,-6.0,4,99
145,-6.0,4,99
150,-6.0,4,98
155,-6.0,4,98
160,-6.0,4,97
165,-6.0,4,96
170,-6.0,4,96
175,-6.0,4,96
180,-6.0,4,95
185,-6.0,4,94
190,-6.0,4,94
195,-6.0,4,93
200,-6.0,4,93
205,-6.0,4,92
210,-6.0,4,92
215,-6.0,4,91
220,-6.0,4,91
225,-6.0,4,90
230,-6.0,4,90
235,-6.0,4,89
240,-6.0,4,89
245,-6.0,4,89
250,-6.0,4,89
255,-6.0,4,88
260,-6.0,4,88
265,-6.0,4,87
270,-6.0,4,87
275,-6.0,4,87
280,-6.0,4,86
285,-6.0,4,86
290,-6.0,4,86
295,-6.0,4,86
300,-6.0,4,86
0,-7.0,1,75
5,-7.0,1,76
10,-7.0,1,76
15,-7.0,1,75
20,-7.0,1,75
25,-7.0,1,73
30,-7.0,1,73
35,-7.0,1,71
40,-7.0,1,70
45,-7.0,1,69
50,-7.0,1,68
55,-7.0,1,67
60,-7.0,1,67
65,-7.0,1,66
70,-7.0,1,66
75,-7.0,1,65
80,-7.0,1,65
85,-7.0,1,65
90,-7.0,1,65
95,-7.0,1,64
100,-7.0,1,64
105,-7.0,1,64
110,-7.0,1,64
115,-7.0,1,64
120,-7.0,1,63
125,-7.0,1,63
130,-7.0,1,63
135,-7.0,1,63
140,-7.0,1,64
145,-7.0,1,63
150,-7.0,1,63
155,-7.0,1,63
160,-7.0,1,63
165,-7.0,1,63
170,-7.0,1,63
175,-7.0,1,64
180,-7.0,1,63
185,-7.0,1,63
190,-7.0,1,63
195,-7.0,1,63
200,-7.0,1,63
205,-7.0,1,63
210,-7.0,1,63
215,-7.0,1,63
220,-7.0,1,63
225,-7.0,1,63
230,-7.0,1,63
235,-7.0,1,63
240,-7.0,1,64
245,-7.0,1,63
250,-7.0,1,63
255,-7.0,1,63
260,-7.0,1,63
265,-7.0,1,64
270,-7.0,1,63
275,-7.0,1,63
280,-7.0,1,63
285,-7.0,1,63
290,-7.0,1,63
295,-7.0,1,63
300,-7.0,1,63
0,-7.0,2,70
5,-7.0,2,73
10,-7.0,2,75
15,-7.0,2,76
20,-7.0,2,77
25,-7.0,2,78
30,-7.0,2,79
35,-7.0,2,79
40,-7.0,2,80
45,-7.0,2,81
50,-7.0,2,81
55,-7.0,2,81
60,-7.0,2,81
65,-7.0,2,81
70,-7.0,2,81
75,-7.0,2,81
80,-7.0,2,81
85,-7.0,2,80
90,-7.0,2,79
95,-7.0,2,79
100,-7.0,2,79
105,-7.0,2,79
110,-7.0,2,79
115,-7.0,2,78
120,-7.0,2,77
125,-7.0,2,77
130,-7.0,2,77
135,-7.0,2,77
140,-7.0,2,76
145,-7.0,2,76
150,-7.0,2,76
155,-7.0,2,75
160,-7.0,2,75
165,-7.0,2,74
170,-7.0,2,74
175,-7.0,2,74
180,-7.0,2,74
185,-7.0,2,74
190,-7.0,2,73
195,-7.0,2,73
200,-7.0,2,73
205,-7.0,2,72
210,-7.0,2,72
215,-7.0,2,72
220,-7.0,2,72
225,-7.0,2,72
230,-7.0,2,71
235,-7.0,2,71
240,-7.0,2,71
245,-7.0,2,71
250,-7.0,2,70
255,-7.0,2,70
260,-7.0,2,70
265,-7.0,2,70
270,-7.0,2,70
275,-7.0,2,70
280,-7.0,2,69
285,-7.0,2,69
290,-7.0,2,69
295,-7.0,2,69
300,-7.0,2,69
0,-7.0,3,68
5,-7.0,3,71
10,-7.0,3,73
15,-7.0,3,74
20,-7.0,3,76
25,-7.0,3,76
30,-7.0,3,77
35,-7.0,3,78
40,-7.0,3,78
45,-7.0,3,78
50,-7.0,3,79
55,-7.0,3,79
60,-7.0,3,79
65,-7.0,3,79
70,-7.0,3,79
75,-7.0,3,79
80,-7.0,3,79
85,-7.0,3,79
90,-7.0,3,78
95,-7.0,3,78
100,-7.0,3,78
105,-7.0,3,77
110,-7.0,3,77
115,-7.0,3,77
120,-7.0,3,76
125,-7.0,3,76
130,-7.0,3,75
135,-7.0,3,75
140,-7.0,3,75
145,-7.0,3,75
150,-7.0,3,74
155,-7.0,3,74
160,-7.0,3,74
165,-7.0,3,74
170,-7.0,3,73
175,-7.0,3,73
180,-7.0,3,72
185,-7.0,3,72
190,-7.0,3,71
195,-7.0,3,72
200,-7.0,3,71
205,-7.0,3,71
210,-7.0,3,71
215,-7.0,3,70
220,-7.0,3,71
225,-7.0,3,70
230,-7.0,3,70
235,-7.0,3,70
240,-7.0,3,69
245,-7.0,3,69
250,-7.0,3,69
255,-7.0,3,69
260,-7.0,3,69
265,-7.0,3,69
270,-7.0,3,69
275,-7.0,3,68
280,-7.0,3,68
285,-7.0,3,68
290,-7.0,3,68
295,-7.0,3,67
300,-7.0,3,67
0,-7.0,4,64
5,-7.0,4,67
10,-7.0,4,69
15,-7.0,4,70
20,-7.0,4,71
25,-7.0,4,72
30,-7.0,4,73
35,-7.0,4,73
40,-7.0,4,73
45,-7.0,4,73
50,-7.0,4,74
55,-7.0,4,74
60,-7.0,4,74
65,-7.0,4,74
70,-7.0,4,73
75,-7.0,4,73
80,-7.0,4,73
85,-7.0,4,73
90,-7.0,4,73
95,-7.0,4,73
100,-7.0,4,73
105,-7.0,4,73
110,-7.0,4,72
115,-7.0,4,72
120,-7.0,4,72
125,-7.0,4,71
130,-7.0,4,71
135,-7.0,4,71
140,-7.0,4,70
145,-7.0,4,70
150,-7.0,4,70
155,-7.0,4,70
160,-7.0,4,69
165,-7.0,4,69
170,-7.0,4,69
175,-7.0,4,69
180,-7.0,4,69
185,-7.0,4,68
190,-7.0,4,68
195,-7.0,4,68
200,-7.0,4,68
205,-7.0,4,67
210,-7.0,4,67
215,-7.0,4,67
220,-7.0,4,67
225,-7.0,4,67
230,-7.0,4,66
235,-7.0,4,66
240,-7.0,4,66
245,-7.0,4,66
250,-7.0,4,66
255,-7.0,4,66
260,-7.0,4,65
265,-7.0,4,66
270,-7.0,4,65
275,-7.0,4,65
280,-7.0,4,65
285,-7.0,4,65
290,-7.0,4,65
295,-7.0,4,65
300,-7.0,4,64
0,-8.0,1,63
5,-8.0,1,63
10,-8.0,1,63
15,-8.0,1,62
20,-8.0,1,62
25,-8.0,1,62
30,-8.0,1,61
35,-8.0,1,61
40,-8.0,1,61
45,-8.0,1,60
50,-8.0,1,60
55,-8.0,1,60
60,-8.0,1,59
65,-8.0,1,59
70,-8.0,1,59
75,-8.0,1,59
80,-8.0,1,58
85,-8.0,1,58
90,-8.0,1,58
95,-8.0,1,58
100,-8.0,1,58
105,-8.0,1,58
110,-8.0,1,57
115,-8.0,1,57
120,-8.0,1,57
125,-8.0,1,57
130,-8.0,1,57
135,-8.0,1,57
140,-8.0,1,57
145,-8.0,1,57
150,-8.0,1,57
155,-8.0,1,57
160,-8.0,1,57
165,-8.0,1,57
170,-8.0,1,56
175,-8.0,1,57
180,-8.0,1,56
185,-8.0,1,57
190,-8.0,1,57
195,-8.0,1,57
200,-8.0,1,57
205,-8.0,1,56
210,-8.0,1,57
215,-8.0,1,56
220,-8.0,1,56
225,-8.0,1,56
230,-8.0,1,56
235,-8.0,1,56
240,-8.0,1,56
245,-8.0,1,56
250,-8.0,1,56
255,-8.0,1,56
260,-8.0,1,57
265,-8.0,1,57
270,-8.0,1,57
275,-8.0,1,56
280,-8.0,1,56
285,-8.0,1,57
290,-8.0,1,56
295,-8.0,1,56
300,-8.0,1,56
0,-8.0,2,65
5,-8.0,2,67
10,-8.0,2,68
15,-8.0,2,70
20,-8.0,2,71
25,-8.0,2,72
30,-8.0,2,73
35,-8.0,2,74
40,-8.0,2,75
45,-8.0,2,75
50,-8.0,2,76
55,-8.0,2,76
60,-8.0,2,76
65,-8.0,2,76
70,-8.0,2,76
75,-8.0,2,76
80,-8.0,2,77
85,-8.0,2,76
90,-8.0,2,76
95,-8.0,2,76
100,-8.0,2,76
105,-8.0,2,76
110,-8.0,2,76
115,-8.0,2,76
120,-8.0,2,75
125,-8.0,2,75
130,-8.0,2,75
135,-8.0,2,74
140,-8.0,2,75
145,-8.0,2,74
150,-8.0,2,74
155,-8.0,2,73
160,-8.0,2,73
165,-8.0,2,73
170,-8.0,2,73
175,-8.0,2,73
180,-8.0,2,72
185,-8.0,2,72
190,-8.0,2,72
195,-8.0,2,72
200,-8.0,2,71
205,-8.0,2,71
210,-8.0,2,71
215,-8.0,2,71
220,-8.0,2,71
225,-8.0,2,70
230,-8.0,2,70
235,-8.0,2,70
240,-8.0,2,70
245,-8.0,2,70
250,-8.0,2,70
255,-8.0,2,69
260,-8.0,2,69
265,-8.0,2,69
270,-8.0,2,69
275,-8.0,2,69
280,-8.0,2,68
285,-8.0,2,68
290,-8.0,2,68
295,-8.0,2,68
300,-8.0,2,68
0,-8.0,3,66
5,-8.0,3,67
10,-8.0,3,69
15,-8.0,3,70
20,-8.0,3,71
25,-8.0,3,72
30,-8.0,3,73
35,-8.0,3,74
40,-8.0,3,74
45,-8.0,3,74
50,-8.0,3,74
55,-8.0,3,75
60,-8.0,3,75
65,-8.0,3,75
70,-8.0,3,75
75,-8.0,3,76
80,-8.0,3,75
85,-8.0,3,75
90,-8.0,3,76
95,-8.0,3,75
100,-8.0,3,75
105,-8.0,3,75
110,-8.0,3,75
115,-8.0,3,74
120,-8.0,3,75
125,-8.0,3,75
130,-8.0,3,74
135,-8.0,3,74
140,-8.0,3,73
145,-8.0,3,74
150,-8.0,3,73
155,-8.0,3,73
160,-8.0,3,73
165,-8.0,3,73
170,-8.0,3,73
175,-8.0,3,72
180,-8.0,3,72
185,-8.0,3,72
190,-8.0,3,72
195,-8.0,3,71
200,-8.0,3,71
205,-8.0,3,71
210,-8.0,3,71
215,-8.0,3,70
220,-8.0,3,71
225,-8.0,3,71
230,-8.0,3,70
235,-8.0,3,70
240,-8.0,3,70
245,-8.0,3,70
250,-8.0,3,69
255,-8.0,3,69
260,-8.0,3,69
265,-8.0,3,69
270,-8.0,3,68
275,-8.0,3,68
280,-8.0,3,68
285,-8.0,3,68
290,-8.0,3,68
295,-8.0,3,68
300,-8.0,3,68
0,-8.0,4,62
5,-8.0,4,63
10,-8.0,4,65
15,-8.0,4,66
20,-8.0,4,67
25,-8.0,4,68
30,-8.0,4,69
35,-8.0,4,69
40,-8.0,4,69
45,-8.0,4,70
50,-8.0,4,70
55,-8.0,4,70
60,-8.0,4,70
65,-8.0,4,70
70,-8.0,4,70
75,-8.0,4,71
80,-8.0,4,70
85,-8.0,4,70
90,-8.0,4,70
95,-8.0,4,70
100,-8.0,4,70
105,-8.0,4,70
110,-8.0,4,70
115,-8.0,4,69
120,-8.0,4,70
125,-8.0,4,69
130,-8.0,4,69
135,-8.0,4,69
140,-8.0,4,69
145,-8.0,4,69
150,-8.0,4,69
155,-8.0,4,69
160,-8.0,4,69
165,-8.0,4,69
170,-8.0,4,68
175,-8.0,4,68
180,-8.0,4,68
185,-8.0,4,68
190,-8.0,4,67
195,-8.0,4,67
200,-8.0,4,67
205,-8.0,4,67
210,-8.0,4,67
215,-8.0,4,67
220,-8.0,4,67
225,-8.0,4,66
230,-8.0,4,66
235,-8.0,4,66
240,-8.0,4,66
245,-8.0,4,66
250,-8.0,4,66
255,-8.0,4,66
260,-8.0,4,66
265,-8.0,4,66
270,-8.0,4,65
275,-8.0,4,65
280,-8.0,4,65
285,-8.0,4,65
290,-8.0,4,65
295,-8.0,4,65
300,-8.0,4,65
0,-9.0,1,56
5,-9.0,1,56
10,-9.0,1,56
15,-9.0,1,57
20,-9.0,1,57
25,-9.0,1,57
30,-9.0,1,57
35,-9.0,1,57
40,-9.0,1,57
45,-9.0,1,57
50,-9.0,1,56
55,-9.0,1,57
60,-9.0,1,57
65,-9.0,1,57
70,-9.0,1,56
75,-9.0,1,57
80,-9.0,1,56
85,-9.0,1,57
90,-9.0,1,56
95,-9.0,1,57
100,-9.0,1,56
105,-9.0,1,56
110,-9.0,1,56
115,-9.0,1,56
120,-9.0,1,56
125,-9.0,1,56
130,-9.0,1,55
135,-9.0,1,56
140,-9.0,1,56
145,-9.0,1,55
150,-9.0,1,55
155,-9.0,1,56
160,-9.0,1,56
165,-9.0,1,55
170,-9.0,1,55
175,-9.0,1,55
180,-9.0,1,55
185,-9.0,1,55
190,-9.0,1,55
195,-9.0,1,55
200,-9.0,1,55
205,-9.0,1,55
210,-9.0,1,55
215,-9.0,1,55
220,-9.0,1,55
225,-9.0,1,55
230,-9.0,1,55
235,-9.0,1,55
240,-9.0,1,55
245,-9.0,1,55
250,-9.0,1,55
255,-9.0,1,55
260,-9.0,1,55
265,-9.0,1,55
270,-9.0,1,54
275,-9.0,1,55
280,-9.0,1,55
285,-9.0,1,55
290,-9.0,1,54
295,-9.0,1,55
300,-9.0,1,54
0,-9.0,2,60
5,-9.0,2,62
10,-9.0,2,63
15,-9.0,2,65
20,-9.0,2,66
25,-9.0,2,67
30,-9.0,2,67
35,-9.0,2,68
40,-9.0,2,69
45,-9.0,2,69
50,-9.0,2,69
55,-9.0,2,70
60,-9.0,2,70
65,-9.0,2,70
70,-9.0,2,70
75,-9.0,2,70
80,-9.0,2,70
85,-9.0,2,71
90,-9.0,2,71
95,-9.0,2,70
100,-9.0,2,70
105,-9.0,2,70
110,-9.0,2,71
115,-9.0,2,70
120,-9.0,2,70
125,-9.0,2,70
130,-9.0,2,70
135,-9.0,2,69
140,-9.0,2,69
145,-9.0,2,69
150,-9.0,2,69
155,-9.0,2,69
160,-9.0,2,69
165,-9.0,2,69
170,-9.0,2,69
175,-9.0,2,69
180,-9.0,2,68
185,-9.0,2,67
190,-9.0,2,68
195,-9.0,2,67
200,-9.0,2,67
205,-9.0,2,67
210,-9.0,2,67
215,-9.0,2,67
220,-9.0,2,67
225,-9.0,2,67
230,-9.0,2,66
235,-9.0,2,66
240,-9.0,2,66
245,-9.0,2,65
250,-9.0,2,66
255,-9.0,2,66
260,-9.0,2,65
265,-9.0,2,65
270,-9.0,2,65
275,-9.0,2,65
280,-9.0,2,65
285,-9.0,2,64
290,-9.0,2,64
295,-9.0,2,64
300,-9.0,2,64
0,-9.0,3,61
5,-9.0,3,63
10,-9.0,3,64
15,-9.0,3,65
20,-9.0,3,66
25,-9.0,3,67
30,-9.0,3,67
35,-9.0,3,69
40,-9.0,3,69
45,-9.0,3,69
50,-9.0,3,69
55,-9.0,3,70
60,-9.0,3,70
65,-9.0,3,70
70,-9.0,3,70
75,-9.0,3,70
80,-9.0,3,70
85,-9.0,3,70
90,-9.0,3,70
95,-9.0,3,70
100,-9.0,3,70
105,-9.0,3,70
110,-9.0,3,70
115,-9.0,3,70
120,-9.0,3,69
125,-9.0,3,70
130,-9.0,3,69
135,-9.0,3,69
140,-9.0,3,69
145,-9.0,3,69
150,-9.0,3,68
155,-9.0,3,69
160,-9.0,3,68
165,-9.0,3,68
170,-9.0,3,68
175,-9.0,3,68
180,-9.0,3,68
185,-9.0,3,68
190,-9.0,3,67
195,-9.0,3,67
200,-9.0,3,67
205,-9.0,3,67
210,-9.0,3,67
215,-9.0,3,67
220,-9.0,3,67
225,-9.0,3,66
230,-9.0,3,66
235,-9.0,3,66
240,-9.0,3,66
245,-9.0,3,66
250,-9.0,3,66
255,-9.0,3,66
260,-9.0,3,66
265,-9.0,3,65
270,-9.0,3,65
275,-9.0,3,65
280,-9.0,3,65
285,-9.0,3,65
290,-9.0,3,65
295,-9.0,3,65
300,-9.0,3,64
0,-9.0,4,59
5,-9.0,4,61
10,-9.0,4,62
15,-9.0,4,62
20,-9.0,4,63
25,-9.0,4,64
30,-9.0,4,64
35,-9.0,4,64
40,-9.0,4,65
45,-9.0,4,65
50,-9.0,4,65
55,-9.0,4,65
60,-9.0,4,65
65,-9.0,4,65
70,-9.0,4,65
75,-9.0,4,65
80,-9.0,4,65
85,-9.0,4,65
90,-9.0,4,64
95,-9.0,4,65
100,-9.0,4,65
105,-9.0,4,65
110,-9.0,4,65
115,-9.0,4,64
120,-9.0,4,64
125,-9.0,4,65
130,-9.0,4,64
135,-9.0,4,64
140,-9.0,4,64
145,-9.0,4,64
150,-9.0,4,63
155,-9.0,4,64
160,-9.0,4,63
165,-9.0,4,63
170,-9.0,4,63
175,-9.0,4,63
180,-9.0,4,63
185,-9.0,4,63
190,-9.0,4,63
195,-9.0,4,63
200,-9.0,4,62
205,-9.0,4,63
210,-9.0,4,62
215,-9.0,4,62
220,-9.0,4,62
225,-9.0,4,62
230,-9.0,4,62
235,-9.0,4,62
240,-9.0,4,62
245,-9.0,4,62
250,-9.0,4,61
255,-9.0,4,62
260,-9.0,4,61
265,-9.0,4,61
270,-9.0,4,61
275,-9.0,4,61
280,-9.0,4,61
285,-9.0,4,61
290,-9.0,4,61
295,-9.0,4,61
300,-9.0,4,61
0,-10.0,1,57
5,-10.0,1,57
10,-10.0,1,58
15,-10.0,1,58
20,-10.0,1,57
25,-10.0,1,58
30,-10.0,1,57
35,-10.0,1,56
40,-10.0,1,55
45,-10.0,1,55
50,-10.0,1,54
55,-10.0,1,54
60,-10.0,1,53
65,-10.0,1,53
70,-10.0,1,52
75,-10.0,1,52
80,-10.0,1,52
85,-10.0,1,52
90,-10.0,1,52
95,-10.0,1,51
100,-10.0,1,52
105,-10.0,1,51
110,-10.0,1,51
115,-10.0,1,51
120,-10.0,1,51
125,-10.0,1,51
130,-10.0,1,51
135,-10.0,1,51
140,-10.0,1,51
145,-10.0,1,51
150,-10.0,1,51
155,-10.0,1,51
160,-10.0,1,51
165,-10.0,1,51
170,-10.0,1,51
175,-10.0,1,51
180,-10.0,1,51
185,-10.0,1,51
190,-10.0,1,51
195,-10.0,1,51
200,-10.0,1,51
205,-10.0,1,51
210,-10.0,1,51
215,-10.0,1,51
220,-10.0,1,52
225,-10.0,1,51
