Condition,Receptor,Assay Mode,Fixed Carbachol (nM),Compound,Well,Plate Row,Replicate,Condition Label,Concentration (log M),Concentration (M),Corrected Fluorescence,B/B0,Measured cAMP (pmol/mL),Real-sample cAMP (pmol/mL),Standard-curve Linear Range Flag,Is Control,Normalized Response,Normalized Endpoint
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,D3,D,4,-5.0,-5.0,1e-05,0.35,0.4616858237547892,13.961856215401692,69.80928107700846,Within 20–80% B/B0,False,36.10935517108953,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,D4,D,4,-6.0,-6.0,1e-06,0.349,0.4597701149425287,14.112516624967784,70.56258312483892,Within 20–80% B/B0,False,36.49900609968472,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,D5,D,4,-7.0,-7.0,1e-07,0.377,0.5134099616858238,10.463445825476995,52.31722912738498,Within 20–80% B/B0,False,27.061464879491496,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,D6,D,4,-8.0,-8.0,1e-08,0.264,0.2969348659003832,37.42755645041497,187.13778225207483,Within 20–80% B/B0,False,96.79837037450494,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,D7,D,4,-9.0,-9.0,1e-09,0.292,0.3505747126436781,26.596341437916813,132.98170718958406,Within 20–80% B/B0,False,68.78574914515214,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,D8,D,4,-10.0,-10.0,1e-10,0.3,0.36590038314176243,24.239148493105713,121.19574246552857,Within 20–80% B/B0,False,62.689373710696955,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,D9,D,4,-11.0,-11.0,1e-11,0.289,0.3448275862068965,27.551235331546103,137.75617665773052,Within 20–80% B/B0,False,71.25537798416914,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,E2,E,5,Vehicle Control,,,0.3,0.36590038314176243,24.239148493105713,121.19574246552857,Within 20–80% B/B0,True,62.689373710696955,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,E3,E,5,-5.0,-5.0,1e-05,0.297,0.36015325670498083,25.092435561024487,125.46217780512244,Within 20–80% B/B0,False,64.89621822499495,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,E4,E,5,-6.0,-6.0,1e-06,0.32,0.4042145593869732,19.34795513446326,96.7397756723163,Within 20–80% B/B0,False,50.03934813581223,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,E5,E,5,-7.0,-7.0,1e-07,0.349,0.4597701149425287,14.112516624967784,70.56258312483892,Within 20–80% B/B0,False,36.49900609968472,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,E6,E,5,-8.0,-8.0,1e-08,0.333,0.4291187739463602,16.775546120909723,83.87773060454862,Within 20–80% B/B0,False,43.38636236639502,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,E7,E,5,-9.0,-9.0,1e-09,0.255,0.27969348659003834,42.07276888715497,210.36384443577487,Within 20–80% B/B0,False,108.81221890120541,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,E8,E,5,-10.0,-10.0,1e-10,0.259,0.2873563218390805,39.920428232148275,199.60214116074138,Within 20–80% B/B0,False,103.245650103922,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,E9,E,5,-11.0,-11.0,1e-11,0.279,0.32567049808429127,31.054126906892353,155.27063453446178,Within 20–80% B/B0,False,80.31485790349848,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,F2,F,6,Vehicle Control,,,0.268,0.30459770114942536,35.576476630078105,177.88238315039052,Within 20–80% B/B0,True,92.01094829742856,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,F3,F,6,-5.0,-5.0,1e-05,0.386,0.5306513409961686,9.503784090327247,47.518920451636234,Within 20–80% B/B0,False,24.579505038048637,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,F4,F,6,-6.0,-6.0,1e-06,0.35,0.4616858237547892,13.961856215401692,69.80928107700846,Within 20–80% B/B0,False,36.10935517108953,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,F5,F,6,-7.0,-7.0,1e-07,0.349,0.4597701149425287,14.112516624967784,70.56258312483892,Within 20–80% B/B0,False,36.49900609968472,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,F6,F,6,-8.0,-8.0,1e-08,0.289,0.3448275862068965,27.551235331546103,137.75617665773052,Within 20–80% B/B0,False,71.25537798416914,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,F7,F,6,-9.0,-9.0,1e-09,0.3,0.36590038314176243,24.239148493105713,121.19574246552857,Within 20–80% B/B0,False,62.689373710696955,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,F8,F,6,-10.0,-10.0,1e-10,0.265,0.2988505747126437,36.9533813912986,184.766906956493,Within 20–80% B/B0,False,95.57201799279102,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,F9,F,6,-11.0,-11.0,1e-11,0.282,0.33141762452107276,29.948110006861235,149.74055003430618,Within 20–80% B/B0,False,77.4543817281032,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,G2,G,7,Vehicle Control,,,0.253,0.27586206896551724,43.20628811620577,216.03144058102885,Within 20–80% B/B0,True,111.74382396886847,cAMP (% Vehicle Control)
