Condition,Receptor,Assay Mode,Fixed Carbachol (nM),Compound,Well,Plate Row,Replicate,Condition Label,Concentration (log M),Concentration (M),Corrected Fluorescence,B/B0,Measured cAMP (pmol/mL),Real-sample cAMP (pmol/mL),Standard-curve Linear Range Flag,Is Control,Normalized Response,Normalized Endpoint
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,F7,F,6,-9.0,-9.0,1e-09,0.261,0.22470238095238096,48.3572415414735,241.7862077073675,Within 20–80% B/B0,False,127.01219596008862,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,F8,F,6,-10.0,-10.0,1e-10,0.301,0.28422619047619047,32.552539325641355,162.76269662820678,Within 20–80% B/B0,False,85.5005242654473,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,F9,F,6,-11.0,-11.0,1e-11,0.265,0.23065476190476192,46.34287918267394,231.71439591336969,Within 20–80% B/B0,False,121.72139403477516,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,G2,G,7,Vehicle Control,,,0.288,0.26488095238095233,36.780621363506015,183.90310681753007,Within 20–80% B/B0,True,96.60574795501661,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,G3,G,7,-5.0,-5.0,1e-05,0.29,0.26785714285714285,36.08324973166303,180.41624865831517,Within 20–80% B/B0,False,94.77407394845274,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,G4,G,7,-6.0,-6.0,1e-06,0.262,0.22619047619047622,47.84205157980513,239.21025789902563,Within 20–80% B/B0,False,125.65902927228296,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,G5,G,7,-7.0,-7.0,1e-07,0.234,0.18452380952380953,66.0044655693562,330.02232784678097,Outside 20–80% B/B0,False,173.36332362849953,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,G6,G,7,-8.0,-8.0,1e-08,0.252,0.2113095238095238,53.37705616496857,266.8852808248429,Within 20–80% B/B0,False,140.19693641092385,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,G7,G,7,-9.0,-9.0,1e-09,0.279,0.2514880952380953,40.160197416024765,200.80098708012383,Within 20–80% B/B0,False,105.48233731705437,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,G8,G,7,-10.0,-10.0,1e-10,0.236,0.1875,64.39373985640964,321.9686992820482,Outside 20–80% B/B0,False,169.13268922154597,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,G9,G,7,-11.0,-11.0,1e-11,0.266,0.23214285714285718,45.858078002257145,229.29039001128572,Within 20–80% B/B0,False,120.44804467559034,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,H2,H,8,Vehicle Control,,,0.333,0.33184523809523814,24.572759021527297,122.86379510763649,Within 20–80% B/B0,True,64.54131759036558,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,H3,H,8,-5.0,-5.0,1e-05,0.295,0.275297619047619,34.41708725308267,172.08543626541336,Within 20–80% B/B0,False,90.39783269719574,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,H4,H,8,-6.0,-6.0,1e-06,0.263,0.22767857142857145,47.33470538692277,236.67352693461385,Within 20–80% B/B0,False,124.32646455155312,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,H5,H,8,-7.0,-7.0,1e-07,0.264,0.22916666666666669,46.83503552667214,234.17517763336068,Within 20–80% B/B0,False,123.01406202025751,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,H6,H,8,-8.0,-8.0,1e-08,0.266,0.23214285714285718,45.858078002257145,229.29039001128572,Within 20–80% B/B0,False,120.44804467559034,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,H7,H,8,-9.0,-9.0,1e-09,0.265,0.23065476190476192,46.34287918267394,231.71439591336969,Within 20–80% B/B0,False,121.72139403477516,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,H8,H,8,-10.0,-10.0,1e-10,0.29,0.26785714285714285,36.08324973166303,180.41624865831517,Within 20–80% B/B0,False,94.77407394845274,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,H9,H,8,-11.0,-11.0,1e-11,0.236,0.1875,64.39373985640964,321.9686992820482,Outside 20–80% B/B0,False,169.13268922154597,cAMP (% Vehicle Control)
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,A2,A,1,Carbachol-only Control (20 nM),,,0.286,0.31698774080560416,26.53480994307764,132.6740497153882,Within 20–80% B/B0,True,3.3478920756171235,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,A3,A,1,-5.0,-5.0,1e-05,0.292,0.32749562171628716,24.891271645244586,124.45635822622293,Within 20–80% B/B0,False,-4.634578753909797,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,A4,A,1,-6.0,-6.0,1e-06,0.293,0.329246935201401,24.629986486765866,123.14993243382932,Within 20–80% B/B0,False,-5.903609818470105,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,A5,A,1,-7.0,-7.0,1e-07,0.301,0.3432574430823117,22.65850236472947,113.29251182364735,Within 20–80% B/B0,False,-15.478874669785153,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,A6,A,1,-8.0,-8.0,1e-08,0.283,0.31173380035026266,27.40843421668846,137.0421710834423,Within 20–80% B/B0,False,7.59098168859392,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,A7,A,1,-9.0,-9.0,1e-09,0.278,0.3029772329246936,28.94835949605052,144.74179748025261,Within 20–80% B/B0,False,15.070216360743547,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,A8,A,1,-10.0,-10.0,1e-10,0.292,0.32749562171628716,24.891271645244586,124.45635822622293,Within 20–80% B/B0,False,-4.634578753909797,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,A9,A,1,-11.0,-11.0,1e-11,0.249,0.2521891418563923,40.56062705739689,202.80313528698446,Within 20–80% B/B0,False,71.46962439116395,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,A10,A,1,Vehicle Control,,,0.235,0.2276707530647986,48.50104773122913,242.50523865614565,Within 20–80% B/B0,True,110.03530703245565,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,B2,B,2,Carbachol-only Control (20 nM),,,0.273,0.2942206654991244,30.602357061871263,153.01178530935633,Within 20–80% B/B0,True,23.10348661594859,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,B3,B,2,-5.0,-5.0,1e-05,0.28,0.3064798598949212,28.31931854035007,141.59659270175035,Within 20–80% B/B0,False,12.015038951079898,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,B4,B,2,-6.0,-6.0,1e-06,0.298,0.3380035026269702,23.37392889437874,116.8696444718937,Within 20–80% B/B0,False,-12.004132760135379,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,B5,B,2,-7.0,-7.0,1e-07,0.31,0.35901926444833626,20.668118927109575,103.34059463554787,Within 20–80% B/B0,False,-25.14593125819706,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,B6,B,2,-8.0,-8.0,1e-08,0.286,0.31698774080560416,26.53480994307764,132.6740497153882,Within 20–80% B/B0,False,3.3478920756171235,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,B7,B,2,-9.0,-9.0,1e-09,0.288,0.32049036777583184,25.972073717736027,129.86036858868013,Within 20–80% B/B0,False,0.614748887271527,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,B8,B,2,-10.0,-10.0,1e-10,0.292,0.32749562171628716,24.891271645244586,124.45635822622293,Within 20–80% B/B0,False,-4.634578753909797,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,B9,B,2,-11.0,-11.0,1e-11,0.286,0.31698774080560416,26.53480994307764,132.6740497153882,Within 20–80% B/B0,False,3.3478920756171235,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,B10,B,2,Vehicle Control,,,0.239,0.23467600700525393,46.02592230127111,230.12961150635556,Within 20–80% B/B0,True,98.01391600669747,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,C2,C,3,Carbachol-only Control (20 nM),,,0.264,0.27845884413309985,33.90612982174898,169.5306491087449,Within 20–80% B/B0,True,39.14951956685724,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,C3,C,3,-5.0,-5.0,1e-05,0.292,0.32749562171628716,24.891271645244586,124.45635822622293,Within 20–80% B/B0,False,-4.634578753909797,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,C4,C,3,-6.0,-6.0,1e-06,0.321,0.37828371278458844,18.515016815207208,92.57508407603603,Within 20–80% B/B0,False,-35.60329317298419,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,C5,C,3,-7.0,-7.0,1e-07,0.303,0.3467600700525394,22.196563942694336,110.98281971347168,Within 20–80% B/B0,False,-17.72245486733507,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,C6,C,3,-8.0,-8.0,1e-08,0.319,0.37478108581436076,18.885785961618332,94.42892980809165,Within 20–80% B/B0,False,-33.80251134781006,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,C7,C,3,-9.0,-9.0,1e-09,0.286,0.31698774080560416,26.53480994307764,132.6740497153882,Within 20–80% B/B0,False,3.3478920756171235,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,C8,C,3,-10.0,-10.0,1e-10,0.266,0.28196147110332753,33.132608957372824,165.66304478686413,Within 20–80% B/B0,False,35.392620354922784,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,C9,C,3,-11.0,-11.0,1e-11,0.265,0.28021015761821366,33.51639991424214,167.5819995712107,Within 20–80% B/B0,False,37.256647571011854,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,C10,C,3,Vehicle Control,,,0.223,0.20665499124343256,57.1662897271122,285.831448635561,Within 20–80% B/B0,True,152.1213609772444,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,D2,D,4,Carbachol-only Control (20 nM),,,0.302,0.3450087565674255,22.426066377711546,112.13033188855773,Within 20–80% B/B0,True,-16.607788725848927,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,D3,D,4,-5.0,-5.0,1e-05,0.28,0.3064798598949212,28.31931854035007,141.59659270175035,Within 20–80% B/B0,False,12.015038951079898,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,D4,D,4,-6.0,-6.0,1e-06,0.286,0.31698774080560416,26.53480994307764,132.6740497153882,Within 20–80% B/B0,False,3.3478920756171235,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,D5,D,4,-7.0,-7.0,1e-07,0.303,0.3467600700525394,22.196563942694336,110.98281971347168,Within 20–80% B/B0,False,-17.72245486733507,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,D6,D,4,-8.0,-8.0,1e-08,0.293,0.329246935201401,24.629986486765866,123.14993243382932,Within 20–80% B/B0,False,-5.903609818470105,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,D7,D,4,-9.0,-9.0,1e-09,0.282,0.3099824868651488,27.707816527478336,138.5390826373917,Within 20–80% B/B0,False,9.045046109184204,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,D8,D,4,-10.0,-10.0,1e-10,0.295,0.3327495621716287,24.117669698652833,120.58834849326416,Within 20–80% B/B0,False,-8.391871772560938,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,D9,D,4,-11.0,-11.0,1e-11,0.267,0.28371278458844135,32.75463301572549,163.77316507862744,Within 20–80% B/B0,False,33.55683597895729,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,D10,D,4,Vehicle Control,,,0.24,0.23642732049036777,45.43488215233739,227.17441076168694,Within 20–80% B/B0,True,95.14330401416699,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,E2,E,5,Carbachol-only Control (20 nM),,,0.302,0.3450087565674255,22.426066377711546,112.13033188855773,Within 20–80% B/B0,True,-16.607788725848927,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,E3,E,5,-5.0,-5.0,1e-05,0.266,0.28196147110332753,33.132608957372824,165.66304478686413,Within 20–80% B/B0,False,35.392620354922784,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,E4,E,5,-6.0,-6.0,1e-06,0.278,0.3029772329246936,28.94835949605052,144.74179748025261,Within 20–80% B/B0,False,15.070216360743547,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,E5,E,5,-7.0,-7.0,1e-07,0.302,0.3450087565674255,22.426066377711546,112.13033188855773,Within 20–80% B/B0,False,-16.607788725848927,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,E6,E,5,-8.0,-8.0,1e-08,0.297,0.33625218914185634,23.618622253314804,118.09311126657403,Within 20–80% B/B0,False,-10.815686100595158,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,E7,E,5,-9.0,-9.0,1e-09,0.284,0.31348511383537647,27.113190619744575,135.56595309872287,Within 20–80% B/B0,False,6.157018510908018,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,E8,E,5,-10.0,-10.0,1e-10,0.314,0.3660245183887916,19.85209215288534,99.26046076442671,Within 20–80% B/B0,False,-29.109276639285067,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,E9,E,5,-11.0,-11.0,1e-11,0.286,0.31698774080560416,26.53480994307764,132.6740497153882,Within 20–80% B/B0,False,3.3478920756171235,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,E10,E,5,Vehicle Control,,,0.248,0.2504378283712785,41.06543902829788,205.3271951414894,Within 20–80% B/B0,True,73.9214363370286,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,F2,F,6,Carbachol-only Control (20 nM),,,0.286,0.31698774080560416,26.53480994307764,132.6740497153882,Within 20–80% B/B0,True,3.3478920756171235,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,F3,F,6,-5.0,-5.0,1e-05,0.287,0.31873905429071797,26.251522695604287,131.25761347802143,Within 20–80% B/B0,False,1.971999471036796,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,F4,F,6,-6.0,-6.0,1e-06,0.267,0.28371278458844135,32.75463301572549,163.77316507862744,Within 20–80% B/B0,False,33.55683597895729,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,F5,F,6,-7.0,-7.0,1e-07,0.315,0.36777583187390545,19.654183981176818,98.27091990588409,Within 20–80% B/B0,False,-30.07049318633554,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,F6,F,6,-8.0,-8.0,1e-08,0.295,0.3327495621716287,24.117669698652833,120.58834849326416,Within 20–80% B/B0,False,-8.391871772560938,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,F7,F,6,-9.0,-9.0,1e-09,0.278,0.3029772329246936,28.94835949605052,144.74179748025261,Within 20–80% B/B0,False,15.070216360743547,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,F8,F,6,-10.0,-10.0,1e-10,0.315,0.36777583187390545,19.654183981176818,98.27091990588409,Within 20–80% B/B0,False,-30.07049318633554,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,F9,F,6,-11.0,-11.0,1e-11,0.28,0.3064798598949212,28.31931854035007,141.59659270175035,Within 20–80% B/B0,False,12.015038951079898,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,F10,F,6,Vehicle Control,,,0.235,0.2276707530647986,48.50104773122913,242.50523865614565,Within 20–80% B/B0,True,110.03530703245565,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,G2,G,7,Carbachol-only Control (20 nM),,,0.286,0.31698774080560416,26.53480994307764,132.6740497153882,Within 20–80% B/B0,True,3.3478920756171235,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,G3,G,7,-5.0,-5.0,1e-05,0.265,0.28021015761821366,33.51639991424214,167.5819995712107,Within 20–80% B/B0,False,37.256647571011854,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,G4,G,7,-6.0,-6.0,1e-06,0.273,0.2942206654991244,30.602357061871263,153.01178530935633,Within 20–80% B/B0,False,23.10348661594859,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,G5,G,7,-7.0,-7.0,1e-07,0.32,0.37653239929947463,18.69931171672151,93.49655858360755,Within 20–80% B/B0,False,-34.708194666726015,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,G6,G,7,-8.0,-8.0,1e-08,0.312,0.3625218914185639,20.255146561173163,101.27573280586581,Within 20–80% B/B0,False,-27.151689121481713,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,G7,G,7,-9.0,-9.0,1e-09,0.308,0.3555166374781086,21.09134203094766,105.4567101547383,Within 20–80% B/B0,False,-23.09038677516091,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,G8,G,7,-10.0,-10.0,1e-10,0.278,0.3029772329246936,28.94835949605052,144.74179748025261,Within 20–80% B/B0,False,15.070216360743547,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,G9,G,7,-11.0,-11.0,1e-11,0.32,0.37653239929947463,18.69931171672151,93.49655858360755,Within 20–80% B/B0,False,-34.708194666726015,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,G10,G,7,Vehicle Control,,,0.232,0.22241681260945706,50.4821968557193,252.41098427859652,Within 20–80% B/B0,True,119.65751365583424,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,H2,H,8,Carbachol-only Control (20 nM),,,0.325,0.3852889667250438,17.798958218397942,88.99479109198971,Within 20–80% B/B0,True,-39.08110495795942,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,H3,H,8,-5.0,-5.0,1e-05,0.287,0.31873905429071797,26.251522695604287,131.25761347802143,Within 20–80% B/B0,False,1.971999471036796,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,H4,H,8,-6.0,-6.0,1e-06,0.276,0.2994746059544659,29.59563620441425,147.97818102207125,Within 20–80% B/B0,False,18.21396266100195,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,H5,H,8,-7.0,-7.0,1e-07,0.278,0.3029772329246936,28.94835949605052,144.74179748025261,Within 20–80% B/B0,False,15.070216360743547,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,H6,H,8,-8.0,-8.0,1e-08,0.29,0.3239929947460595,25.424409517208375,127.12204758604187,Within 20–80% B/B0,False,-2.045191261888432,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,H7,H,8,-9.0,-9.0,1e-09,0.27,0.28896672504378285,31.65440505157472,158.2720252578736,Within 20–80% B/B0,False,28.21315908305364,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,H8,H,8,-10.0,-10.0,1e-10,0.286,0.31698774080560416,26.53480994307764,132.6740497153882,Within 20–80% B/B0,False,3.3478920756171235,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,H9,H,8,-11.0,-11.0,1e-11,0.349,0.42732049036777575,14.117665472662429,70.58832736331215,Within 20–80% B/B0,False,-56.960707761573374,% Carbachol Signaling Inhibition
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,PAC-3310,H10,H,8,Vehicle Control,,,0.263,0.27670753064798603,34.30192604591044,171.50963022955222,Within 20–80% B/B0,True,41.071854944117,% Carbachol Signaling Inhibition
Carbachol dose titration (M4),M4,Carbachol agonism,,Carbachol,A2,A,1,Vehicle Control,,,0.271,0.34813084112149534,15.149727893732845,75.74863946866422,Within 20–80% B/B0,True,83.79983963493143,cAMP (% Vehicle Control)
Carbachol dose titration (M4),M4,Carbachol agonism,,Carbachol,A3,A,1,-5.0,-5.0,1e-05,0.265,0.3341121495327103,16.403309581135215,82.01654790567608,Within 20–80% B/B0,False,90.73395390486907,cAMP (% Vehicle Control)
Carbachol dose titration (M4),M4,Carbachol agonism,,Carbachol,A4,A,1,-6.0,-6.0,1e-06,0.264,0.3317757009345794,16.624721761575643,83.12360880787821,Within 20–80% B/B0,False,91.95868251678057,cAMP (% Vehicle Control)
Carbachol dose titration (M4),M4,Carbachol agonism,,Carbachol,A5,A,1,-7.0,-7.0,1e-07,0.27,0.34579439252336447,15.350142642495072,76.75071321247536,Within 20–80% B/B0,False,84.90842217347968,cAMP (% Vehicle Control)
Carbachol dose titration (M4),M4,Carbachol agonism,,Carbachol,A6,A,1,-8.0,-8.0,1e-08,0.232,0.25700934579439255,26.350676896491713,131.75338448245856,Within 20–80% B/B0,False,145.7572382611163,cAMP (% Vehicle Control)
Carbachol dose titration (M4),M4,Carbachol agonism,,Carbachol,A7,A,1,-9.0,-9.0,1e-09,0.252,0.3037383177570093,19.605312600471215,98.02656300235608,Within 20–80% B/B0,False,108.44564756782425,cAMP (% Vehicle Control)
Carbachol dose titration (M4),M4,Carbachol agonism,,Carbachol,A8,A,1,-10.0,-10.0,1e-10,0.254,0.308411214953271,19.063208512773,95.316042563865,Within 20–80% B/B0,False,105.44703030332907,cAMP (% Vehicle Control)
Carbachol dose titration (M4),M4,Carbachol agonism,,Carbachol,A9,A,1,-11.0,-11.0,1e-11,0.228,0.24766355140186916,28.068087771704086,140.34043885852043,Within 20–80% B/B0,False,155.25699673464115,cAMP (% Vehicle Control)
Carbachol dose titration (M4),M4,Carbachol agonism,,Carbachol,B2,B,2,Vehicle Control,,,0.261,0.3247663551401869,17.312068369894305,86.56034184947153,Within 20–80% B/B0,True,95.76070034540085,cAMP (% Vehicle Control)
Carbachol dose titration (M4),M4,Carbachol agonism,,Carbachol,B3,B,2,-5.0,-5.0,1e-05,0.286,0.3831775700934579,12.494692169616924,62.47346084808462,Within 20–80% B/B0,False,69.11366378632303,cAMP (% Vehicle Control)
Carbachol dose titration (M4),M4,Carbachol agonism,,Carbachol,B4,B,2,-6.0,-6.0,1e-06,0.309,0.43691588785046725,9.410894056963963,47.054470284819814,Within 20–80% B/B0,False,52.05581369690153,cAMP (% Vehicle Control)
Carbachol dose titration (M4),M4,Carbachol agonism,,Carbachol,B5,B,2,-7.0,-7.0,1e-07,0.261,0.3247663551401869,17.312068369894305,86.56034184947153,Within 20–80% B/B0,False,95.76070034540085,cAMP (% Vehicle Control)
Carbachol dose titration (M4),M4,Carbachol agonism,,Carbachol,B6,B,2,-8.0,-8.0,1e-08,0.264,0.3317757009345794,16.624721761575643,83.12360880787821,Within 20–80% B/B0,False,91.95868251678057,cAMP (% Vehicle Control)
Carbachol dose titration (M4),M4,Carbachol agonism,,Carbachol,B7,B,2,-9.0,-9.0,1e-09,0.249,0.29672897196261677,20.45694294695437,102.28471473477185,Within 20–80% B/B0,False,113.15639134910711,cAMP (% Vehicle Control)
